regime,model_fills,chosen_fills,emergency_frac,always_emerg_frac,model_cpl_all,model_cpl_chosen,always_cpl,saving_all_%,saving_chosen_%
normal,327,41,0.8746177370030581,0.0,195.7971671388102,174.4955223880597,197.0512676056338,0.6364335952070433,11.446637969726625
late_descent,218,112,0.48623853211009177,0.0,184.54381625441695,176.3960451977401,188.55669291338583,2.1282069583243097,6.44933230836402
overdue,134,73,0.4552238805970149,0.0,188.58993288590605,174.90227272727273,196.57605633802817,4.062612507796646,11.025647789721472
