regime,model_fills,model_litres,model_cpl,always_cpl,saving_pct,model_emergency_frac
normal,327,8825.0,195.7971671388102,197.0512676056338,0.6364335952070433,0.8746177370030581
late_descent,218,7075.0,184.54381625441695,188.55669291338583,2.1282069583243097,0.48623853211009177
overdue,134,3725.0,188.58993288590605,196.57605633802817,4.062612507796646,0.4552238805970149
