regime,n,base_rate,peak_cents_mean,peak_cents_std,tau_med,buy_rate_mean,oracle_cents,regret_mean,regret_std
normal,342572,0.09230468339502353,-0.46266999999999997,0.018506337860311552,0.2,0.13735999999999998,0.5879808332262999,1.0506508332263,0.018506337860311604
late_descent,248707,0.33131757449528965,0.393183,0.035980492089464265,0.25,0.47408,2.110492949534995,1.7173099495349948,0.03598049208946422
overdue,207332,0.3529556460170162,0.9330909999999999,0.00960479765533871,0.05,0.5666,2.248327465128393,1.3152364651283928,0.009604797655338754
