label,n_rows,n_unique_dates,pct_through_mean,pct_through_median,pct_through_p90,pct_through_p99,frac_pct_gt_1,frac_pct_gt_1_5,days_since_peak_mean,days_since_peak_p90,mean_cycle_length_mean,amplitude_mean,station_minus_min_mean
FULL DATASET,2023658,3493,0.5498628456743675,0.4768392370572207,1.1808367071524966,1.8590998043052835,0.16917730169821185,0.03801581097201207,16.544947812327973,36.0,30.404032929477214,30.56658442984242,12.933692905164476
"PRE  (Jul–Oct 2023, 90d before fold 9)",59700,90,0.5276425443964852,0.5439709882139618,1.0577213659715925,1.2088244182532486,0.11217755443886097,0.0,17.45609715242881,35.0,33.07519832495813,27.71372694478121,15.566535526831627
FOLD 9  (Oct 2023 – Jan 2024),60022,90,0.5434503321802083,0.5080693365212193,1.1111111111111112,1.5714717437292232,0.13320115957482256,0.02242511079270934,18.10982639698777,37.0,33.354366898803775,37.1878055078654,10.534596392281205
"POST (Jan–Apr 2024, 90d after fold 9)",58953,90,0.42474980093811826,0.3273809523809524,1.1356843992827257,1.3747758517632995,0.10058860448153614,0.0,14.258324427934117,38.0,33.58133207809612,30.262184352214568,18.926815325757296
