fold,bin_idx,bin_left,bin_right,mean_norm_price
1,0,0.0,0.05,0.6852993500845813
1,1,0.05,0.1,0.8796492762981406
1,2,0.1,0.15000000000000002,0.8136190823748787
1,3,0.15000000000000002,0.2,0.7686932111392193
1,4,0.2,0.25,0.7028441352824369
1,5,0.25,0.30000000000000004,0.5827344625255765
1,6,0.30000000000000004,0.35000000000000003,0.5411996944244684
1,7,0.35000000000000003,0.4,0.43767315567166154
1,8,0.4,0.45,0.397183638121688
1,9,0.45,0.5,0.3641581231600154
1,10,0.5,0.55,0.2510192655539602
1,11,0.55,0.6000000000000001,0.2521361275015299
1,12,0.6000000000000001,0.65,0.1908283560926959
1,13,0.65,0.7000000000000001,0.17893171879086542
1,14,0.7000000000000001,0.75,0.22060001065879634
1,15,0.75,0.8,0.1754340373269513
1,16,0.8,0.8500000000000001,0.22102217532153048
1,17,0.8500000000000001,0.9,0.23015433683838016
1,18,0.9,0.9500000000000001,0.35454338504168137
1,19,0.9500000000000001,1.0,0.33344379452521816
1,20,1.0,1.05,0.434051367752002
1,21,1.05,1.1,0.45446621304944146
1,22,1.1,1.1500000000000001,0.32232030446288057
1,23,1.1500000000000001,1.2000000000000002,0.2737272841716042
1,24,1.2000000000000002,1.25,0.23184626429366798
1,25,1.25,1.3,0.14038884423925502
1,26,1.3,1.35,0.590249065079604
1,27,1.35,1.4000000000000001,0.4000116412718012
1,28,1.4000000000000001,1.4500000000000002,0.010349476644026903
1,29,1.4500000000000002,1.5,0.14215521522146643
2,0,0.0,0.05,0.6844034065365303
2,1,0.05,0.1,0.8862004155479472
2,2,0.1,0.15000000000000002,0.8161673120550822
2,3,0.15000000000000002,0.2,0.7760057198794242
2,4,0.2,0.25,0.7064733965930745
2,5,0.25,0.30000000000000004,0.5884945958216259
2,6,0.30000000000000004,0.35000000000000003,0.547817874818383
2,7,0.35000000000000003,0.4,0.4500691065326233
2,8,0.4,0.45,0.40318632145753097
2,9,0.45,0.5,0.37556623731525757
2,10,0.5,0.55,0.26097901572025706
2,11,0.55,0.6000000000000001,0.2557902949467696
2,12,0.6000000000000001,0.65,0.19776930283779817
2,13,0.65,0.7000000000000001,0.1816537630051898
2,14,0.7000000000000001,0.75,0.2203401194969696
2,15,0.75,0.8,0.17525613467238962
2,16,0.8,0.8500000000000001,0.21439670883048462
2,17,0.8500000000000001,0.9,0.21882864799588375
2,18,0.9,0.9500000000000001,0.34357533887700153
2,19,0.9500000000000001,1.0,0.30997657772537585
2,20,1.0,1.05,0.41766211138205583
2,21,1.05,1.1,0.41514646003484545
2,22,1.1,1.1500000000000001,0.30863075419365305
2,23,1.1500000000000001,1.2000000000000002,0.27001302731416893
2,24,1.2000000000000002,1.25,0.24070870683951562
