pct_bin_centre,mean_norm_price,std_norm_price,se_norm_price,n_rows
0.025,0.6782590053968676,0.9960892016662387,0.0017398652695555868,327767
0.07500000000000001,0.8235072934455911,0.4066991043476816,0.0016348466039658378,61886
0.125,0.7679473119108325,0.39088152492255923,0.0013286761356494355,86547
0.17500000000000002,0.7341722195476452,0.3878269526160113,0.0014516702260293118,71374
0.225,0.6453577664283667,0.37447937999720043,0.0013011072792592391,82838
0.275,0.5426639351636836,0.39355759147309827,0.0012944992929354695,92430
0.32500000000000007,0.4891004533405181,0.40605574028526864,0.0014440053429753072,79074
0.375,0.43468677073051104,0.4094993430035805,0.001438310293222993,81059
0.42500000000000004,0.343553071054752,0.41846867215057754,0.0014285702172979343,85807
0.475,0.3067361233898995,0.4162911069927749,0.0015030812778381367,76706
0.525,0.25676794353361987,0.42585388775879723,0.0014808927827010064,82694
0.5750000000000001,0.20524803882941794,0.41360100742959066,0.0014908728085619815,76963
0.625,0.1924292594260027,0.4664613684258249,0.0016605622625638988,78908
0.675,0.18436736071673537,0.4733468553202014,0.0017666501081815336,71789
0.7250000000000001,0.19900856060891317,0.49303250205852117,0.001979491569450709,62036
0.775,0.176211833703666,0.5486301735400296,0.0021468735842244133,65305
0.8250000000000001,0.19564021964445666,0.5315347802942594,0.0022798168156400495,54358
0.875,0.23203364873761242,0.628728419499542,0.0027484492630474016,52330
0.925,0.3050448715847927,0.64878755138749,0.002999822858961784,46775
0.9750000000000001,0.325029944802856,0.6982649582756882,0.0033043436021458795,44655
1.025,0.36123271041048033,0.6979163328115648,0.0034169326367586446,41719
1.0750000000000002,0.40185219959087654,0.703391953747047,0.0035231748462740387,39859
1.125,0.3517070886592051,0.714809553237688,0.003650647982122185,38339
1.1750000000000003,0.33108101801918577,0.725190366917825,0.004084234815830709,31527
1.225,0.26801200384988744,0.786135692917756,0.0054186624441236566,21048
1.275,0.2885239179428133,0.843645358862089,0.005458001725585582,23892
1.3250000000000002,0.44351615169547765,0.8804435808258306,0.0060154971302379635,21422
1.375,0.4458782612539924,0.8447869594784848,0.006054148548530685,19471
1.4250000000000003,0.12184057392145868,0.965259086668265,0.0074079942062420445,16978
1.475,0.32523601349452747,0.9866993448330524,0.009335526453634006,11171
1.525,0.07560050428281642,0.9667851439991325,0.008442331057679837,13114
1.5750000000000002,0.17359201708226984,1.1952074360440257,0.0110829003687004,11630
1.625,0.23042913205278706,0.992508635587723,0.013242868976478734,5617
1.6750000000000003,0.025330851286817065,1.1450899118713251,0.012864554780169039,7923
1.725,0.3526157822069237,1.1855855850562247,0.015566159549893956,5801
1.775,0.6918833222678399,0.9578362240001985,0.012528497759808606,5845
1.8250000000000002,0.7742333391181997,0.8598368133620354,0.012941954564527335,4414
1.875,0.48315397701759527,1.0910210287103266,0.014313474057757234,5810
1.9250000000000003,-0.1328973736352636,0.7514798081584929,0.013049986274250247,3316
1.975,0.1366969416371328,0.6798138214803763,0.005859375461770845,13461
