config,n_seeds,n_features,val_logloss_mean,val_logloss_std,val_brier_mean,val_brier_std,delta_logloss_vs_baseline_mean,delta_brier_vs_baseline_mean
baseline,5,50,0.32291897107477524,0.0035166143133513322,0.10439839756945957,0.0012493691125521431,0.0,0.0
drop_minus_max,5,49,0.31169053088875315,0.005012620184378847,0.0996643976916443,0.0016712783933693178,-0.011228440186022093,-0.0047339998778152675
drop_price,5,49,0.3201344987246838,0.010953057179312348,0.10331381334314464,0.003935312441811952,-0.002784472350091438,-0.0010845842263149247
