config,n_features,train_size,val_size,val_logloss,val_brier,baseline_val_logloss,delta_logloss_vs_baseline,delta_brier_vs_baseline
baseline,50,1733335,59811,0.32179763613897744,0.10353536907195501,0.628283488345252,0.0,0.0
drop_price,49,1733335,59811,0.311958998844677,0.10003920766660424,0.628283488345252,-0.009838637294300456,-0.0034961614053507784
drop_minus_max,49,1733335,59811,0.30385964669537424,0.0971700501205159,0.628283488345252,-0.017937989443603197,-0.006365318951439117
