arm,n_windows,own_tau_median,held_tau_median,always_cpl,cpl_own,saving_own_pct,cpl_held,saving_held_pct
R0_54,14,0.25,0.25,193.41483516483515,189.6717090069284,1.935283896251658,189.6717090069284,1.935283896251658
cand_54,14,0.25,0.25,193.41483516483515,189.67756041426927,1.9322585816030329,189.67756041426927,1.9322585816030329
R0_64,14,0.25,0.25,193.41483516483515,189.66,1.9413377270854897,189.66,1.9413377270854897
