bin,n,cycle_pct_through,cycle_days_since_peak,cycle_mean_length,cycle_last_min_cents,cycle_last_max_cents,cycle_peak_count,station_price_cents,station_minus_last_min_cents,station_minus_last_max_cents,station_minus_sydney_avg_cents,lga_mean_cents,station_minus_lga_mean_cents,brand_mean_cents,station_minus_brand_mean_cents,stickiness_score,days_since_trough_entry_bayside,days_since_trough_entry_blacktown,days_since_trough_entry_blue_mountains,days_since_trough_entry_botany_bay,days_since_trough_entry_burwood,days_since_trough_entry_camden,days_since_trough_entry_campbelltown,days_since_trough_entry_canada_bay,days_since_trough_entry_canterbury_bankstown,days_since_trough_entry_cumberland,days_since_trough_entry_fairfield,days_since_trough_entry_georges_river,days_since_trough_entry_hawkesbury,days_since_trough_entry_hornsby,days_since_trough_entry_hunters_hill,days_since_trough_entry_inner_west,days_since_trough_entry_ku_ring_gai,days_since_trough_entry_lane_cove,days_since_trough_entry_liverpool,days_since_trough_entry_mosman,days_since_trough_entry_north_sydney,days_since_trough_entry_northern_beaches,days_since_trough_entry_parramatta,days_since_trough_entry_penrith,days_since_trough_entry_randwick,days_since_trough_entry_rockdale,days_since_trough_entry_ryde,days_since_trough_entry_strathfield,days_since_trough_entry_sutherland_shire,days_since_trough_entry_sydney,days_since_trough_entry_the_hills_shire,days_since_trough_entry_waverley,days_since_trough_entry_willoughby,days_since_trough_entry_wollondilly,days_since_trough_entry_woollahra
lead −8+,20112,0.1760706888227838,0.04630021922361554,0.5063376347953219,0.12540345670648917,0.05252591310295435,0.04797150436075107,0.23003865897636153,0.9917090381833209,1.0305740511272907,0.2791119099236821,0.02712560795616058,0.36389790247016207,0.05347791490667339,0.12168239350306345,0.5087110126634963,0.0,0.014972631437806236,0.11461682935993579,0.0,0.047285433880464536,0.028650160738689086,0.007560528401350205,0.013081939242195152,0.0022708483684801477,0.06100721220736792,0.01146097842434781,0.036917822517961225,0.045059635256294694,0.023336007662764797,0.0,0.001055021737055759,0.012838352070951393,0.0,0.009525460443491948,0.04241879168835156,0.0072655853316491185,0.012568142528478175,0.051305798895716084,0.021056048379689055,0.08057596989098732,0.004778929500054201,0.01252817226562241,0.03396352375716278,0.007903002962671775,0.008095390170841623,0.007801804232432209,0.0,0.0029906267735547265,0.018702129013345677,0.10641480952039467
lead −7..−4,7416,0.14929392389365692,0.052553787291866196,0.5271334158192746,0.10914286671809977,0.05626569930678071,0.03617112052730424,0.21131022084169016,1.2323874610741947,1.3266619212402366,0.22786298590771206,0.028367942790783512,0.3744326609862221,0.04146606463403677,0.1388272245084097,0.5012886661014635,0.0,0.019798404750929543,0.11499437451371454,0.0,0.06897497780055396,0.03417976091327575,0.011726605112535335,0.019323853917509615,0.006238455553891482,0.06837006481443869,0.010374639428749359,0.04255260523813641,0.049514589578455365,0.02867919045457786,0.0,0.0015239555804454782,0.011618397539722434,0.0,0.008883860213065193,0.04499047668867552,0.011427161954247157,0.009478737373779758,0.04878386850191399,0.022451991300852462,0.09481277798173099,0.0059919662285507335,0.015040287974933184,0.04514367961458093,0.009336547839603032,0.010866215885739718,0.00712180747558998,0.0,0.0027228627458930374,0.018965238155744135,0.1681624602401307
lead −3..−1,5413,0.13055446073220597,0.0501796416389313,0.5232925558066157,0.1000349453858273,0.049101321593720354,0.03867911115296664,0.24408217867006968,1.4065910649704136,1.4906825436679334,0.20054855557829662,0.026496479183113347,0.40647835356825296,0.040885347370691244,0.15696970257992296,0.4917521831272495,0.0,0.023526687566000893,0.0944963492419616,0.0,0.08834086835294333,0.03666091028131441,0.01174023854197216,0.021761132422422367,0.008277661468321405,0.0738260189114938,0.011669510469751102,0.04342945975655268,0.04775297607169033,0.03169449390432853,0.0,0.001599906621461435,0.013420022237514243,0.0,0.00912593716503575,0.048985564449156374,0.014250893417233523,0.008080082094033414,0.053826650813685775,0.027460381033239722,0.0915794648004331,0.007367096135851158,0.015136383108441348,0.04900070877515935,0.009276573765055666,0.012264483743252258,0.007301289509945874,0.0,0.003258764664189776,0.023359683287201463,0.17886190937733487
trough (0),1744,0.12987498871923675,0.04934093287410693,0.5167000463864208,0.09549307588326904,0.041489105178968914,0.03688719424027521,0.26080265841843275,1.5521163654231507,1.661976660614444,0.18554616182870073,0.025092848471309902,0.46360113151755583,0.035677154472240145,0.1786150225120309,0.48610536966674023,0.0,0.025641154416964348,0.08740865409136654,0.0,0.0927723108080666,0.0338169204912011,0.010751034487604174,0.021130097570206976,0.012401085428876923,0.07188648540356644,0.013352207905229717,0.047585289158972074,0.04494057373990576,0.035904400993153465,0.0,0.0019795020876040275,0.01277498787620779,0.0,0.00986702843214774,0.04774660630875024,0.017459593498132447,0.008003679776280696,0.05311904792524715,0.02715907883420515,0.1060898360297233,0.008366420639993046,0.016984093543080107,0.0568861206895723,0.00922912354706157,0.012952482433534258,0.006529386053262731,0.0,0.003980664170593292,0.023782394852652544,0.15393885306690133
post +1..+3,4933,0.10975884661627024,0.03883895679011735,0.4430230312733713,0.09177087466430235,0.037235091353191065,0.04275301531047521,0.3288712799755588,1.5727385376247318,1.8144153886996388,0.21797521708658957,0.02353163491001676,0.4933458140353315,0.036786517537019996,0.16634993717523058,0.4798926623181736,0.0,0.02992464412705373,0.08185806538279114,0.0,0.09280589511613077,0.035626571169085464,0.01108164208680338,0.014344562936297866,0.014789388696142663,0.06017476211556431,0.01609172817221177,0.04723673561103399,0.04310267339919715,0.04086864939947694,0.0,0.002322122357047533,0.01169479485823259,0.0,0.01483502229244837,0.05297975087167355,0.021271777070559283,0.007804609532520957,0.06543050247056088,0.030485252890946345,0.09507369238665857,0.009665177457686422,0.01741439502612267,0.06388787483380699,0.007926366677841126,0.01898311256818541,0.00736283098144452,0.0,0.0035125540194061284,0.02075560864741372,0.14249690121080347
post +4..+7,6020,0.09700373271625737,0.02720611470274668,0.3905986900207207,0.09277692221953236,0.036843260626736374,0.04013311986238589,0.42963857133617483,1.5910807843683794,2.0213545084848534,0.2631245602911742,0.0247049361138499,0.5593263337890693,0.04195271678309415,0.1691891716913228,0.46604135274426517,0.0,0.01674059696913032,0.049548658026344,0.0,0.089269085824711,0.027192113161068485,0.009278421013441071,0.008926109794554606,0.010342514312622024,0.04536158615841311,0.023492284170138964,0.04969952426204593,0.03603384337560915,0.036337361462384594,0.0,0.00247237011584333,0.011225928791740412,0.0,0.01745411894142029,0.06466435381496306,0.02823894500592131,0.006247227551272027,0.04165169227546569,0.045680940778072776,0.0804867117792397,0.010043436764818227,0.014327408008397192,0.05985798508265461,0.005708672643158372,0.026403731325059198,0.007983091347760608,0.0,0.003491418324446624,0.02130849527325954,0.13262019581408524
mid-cycle +8+,14173,0.13990451612805918,0.027220358117118038,0.3841326894721639,0.10967188508790576,0.03613970489047957,0.03676106501258802,0.5016666661598431,1.3292722286695746,1.753651437286757,0.2985267962676079,0.028438088758612857,0.4994637125839569,0.08840352458949349,0.14037608373904084,0.4610798026596398,0.0,0.009642243740315552,0.051645358664445834,0.0,0.05722630691147654,0.0220285936757183,0.005601271426214662,0.008433843998238922,0.002712901151511038,0.03810591929206146,0.014654784183131719,0.03007541034452219,0.04030270197121875,0.021373300327201243,0.0,0.0025247676475859838,0.011521139515696228,0.0,0.014767611339982872,0.041584406373374974,0.016713560477560584,0.006250762911211212,0.032880189549373634,0.029924143774439846,0.05244421104696964,0.0061571673038765895,0.009990111208617954,0.02462737183361955,0.004024321628244439,0.016340283469550545,0.009033616768098671,0.0,0.0030505879454975657,0.013210273779226045,0.10935948757331336
