month,model_fills,mean_vol_c,model_cpl,oracle_cpl,headroom_cpl
2021-11,14,10.386806112928008,154.97222222222223,155.96315789473684,-0.9909356725146097
2021-12,22,12.015406320458395,174.16923076923078,173.46,0.7092307692307713
2022-01,15,10.369148815555963,174.6125,174.6125,0.0
2022-02,10,9.893285280447923,174.96666666666667,176.025,-1.0583333333333371
2022-03,22,6.453618874492795,186.8,184.3625,2.4375
2022-04,15,9.294684249509139,166.23684210526315,165.60476190476192,0.6320802005012354
2022-05,15,10.008173409601454,198.10666666666665,184.94666666666666,13.159999999999997
2022-06,20,8.316034379199719,200.788,200.788,0.0
2022-07,20,8.467112386839004,195.764,194.212,1.552000000000021
2022-08,17,9.286919418375076,175.33,174.55,0.7800000000000011
2022-09,15,9.654540273673751,169.9,169.94285714285715,-0.04285714285714448
2022-10,19,6.739979000872287,179.4,178.92727272727274,0.4727272727272691
2022-11,20,7.873141039485921,195.77826086956523,196.12105263157895,-0.34279176201371797
2022-12,16,11.693652186595315,183.4111111111111,182.94761904761904,0.46349206349205474
2023-01,23,9.11762075151556,180.61428571428573,179.925,0.6892857142857167
2023-02,16,10.851275493527318,197.375,197.375,0.0
2023-03,15,8.576945056580842,183.01,182.88,0.12999999999999545
2023-04,22,8.346430634543069,194.44545454545454,193.94,0.5054545454545405
2023-05,18,5.892976312054905,173.07142857142858,171.4304347826087,1.640993788819884
2023-06,17,8.121244528953861,184.49,184.1235294117647,0.3664705882353019
2023-07,15,8.716939145076914,181.78235294117647,180.1,1.6823529411764753
2023-08,18,11.543160285578422,200.72,195.57,5.150000000000006
2023-09,25,9.153936271061655,213.012,207.175,5.836999999999989
2023-10,17,8.494253507056067,194.28947368421052,197.228,-2.9385263157894883
2023-11,23,9.79330392999293,206.675,204.29090909090908,2.3840909090909292
2023-12,17,15.638365617369331,204.26842105263157,200.95555555555555,3.312865497076018
2024-01,20,12.073527186972452,189.56666666666666,188.78,0.7866666666666617
2024-02,20,12.68284491993187,206.57,203.94,2.6299999999999955
2024-03,20,11.207690029662267,214.83,210.07333333333332,4.756666666666689
2024-04,15,12.246259501111899,207.88,207.97619047619048,-0.09619047619048615
2024-05,18,8.774566136132243,194.69130434782608,195.25,-0.5586956521739239
2024-06,17,14.852042707540171,217.14705882352942,215.71333333333334,1.4337254901960819
2024-07,17,13.299950043628145,202.09,199.69,2.4000000000000057
2024-08,15,10.548353581925417,185.11,183.65238095238095,1.4576190476190618
2024-09,20,8.908308100301898,178.58,175.812,2.7680000000000007
2024-10,16,11.763831486154125,177.55555555555554,178.46190476190475,-0.9063492063492049
2024-11,17,11.687546582630883,184.2157894736842,181.0,3.2157894736841968
2024-12,23,11.21282292225292,200.88260869565218,199.59166666666667,1.290942028985512
2025-01,16,13.109863794457626,188.86,192.46,-3.5999999999999943
2025-02,19,9.628811807095166,190.46666666666667,187.8125,2.6541666666666686
2025-03,20,12.650779915400278,196.44,192.83333333333334,3.606666666666655
2025-04,10,8.530733651750669,181.68571428571428,180.11428571428573,1.5714285714285552
