block_days,n_blocks,lag1_autocorr,median_self_corr,seams
original,0,0.9985081822572113,0.0,0
14,256,0.9273044425146557,0.03891069694862509,255
29,124,0.9620719740354344,0.051879659388273915,123
61,59,0.9773078803363074,0.08266329633870004,58
127,29,0.9899848318389238,0.12448056765861097,28
251,15,0.9934683281085726,0.15792578886805086,14
