column,market_wide,all_nan,median_self_corr,max_self_corr
cycle_pct_through,True,False,0.015562608606182055,0.0430186673142275
cycle_days_since_peak,True,False,0.030346567547010872,0.04425447208617146
cycle_mean_length,True,False,0.06559297627935164,0.18438236970177502
cycle_last_min_cents,True,False,0.12837537908271276,0.14833692934835058
cycle_last_max_cents,True,False,0.05381236784490801,0.128613359712679
cycle_peak_count,True,False,0.03290360308260349,0.17811156779081574
station_price_cents,False,False,0.05008418818672415,0.053522101405801326
station_minus_last_min_cents,False,False,0.1118499380208423,0.11251700602208581
station_minus_last_max_cents,False,False,0.08694863383924303,0.08965051563696126
station_minus_sydney_avg_cents,False,False,0.3275687538882061,0.3278066517155585
lga_mean_cents,False,False,0.03720759308581864,0.03970464308273609
station_minus_lga_mean_cents,False,False,0.27597973758734134,0.27752480042992345
brand_mean_cents,False,False,0.040141307961063515,0.042386244380787315
station_minus_brand_mean_cents,False,False,0.18474303982953472,0.1850661253528621
stickiness_score,False,False,0.4647226651916756,0.4698641196839858
days_since_trough_entry_bayside,True,True,,
days_since_trough_entry_blacktown,True,False,0.00926894230311825,0.050798435166271076
days_since_trough_entry_blue_mountains,True,False,0.010013544397368306,0.03392571996160152
days_since_trough_entry_botany_bay,True,True,,
days_since_trough_entry_burwood,True,False,0.0451370768670777,0.05179486056470518
days_since_trough_entry_camden,True,False,0.008031694993266296,0.04634912429313733
days_since_trough_entry_campbelltown,True,False,0.017682870453059926,0.026304963111583597
days_since_trough_entry_canada_bay,True,False,0.04812587709275963,0.06464118355691734
days_since_trough_entry_canterbury_bankstown,True,False,0.011445728549935467,0.030467329950732185
days_since_trough_entry_cumberland,True,False,0.03470398628568837,0.0828218417894619
days_since_trough_entry_fairfield,True,False,0.014699285614452369,0.027059659452754504
days_since_trough_entry_georges_river,True,False,0.02031877275525593,0.0339171524237682
days_since_trough_entry_hawkesbury,True,False,0.019587501124920602,0.07049442770173193
days_since_trough_entry_hornsby,True,False,0.01574550019681151,0.033299153105153155
days_since_trough_entry_hunters_hill,True,True,,
days_since_trough_entry_inner_west,True,False,0.00855163561050297,0.01838071921168633
days_since_trough_entry_ku_ring_gai,True,False,0.020647638120532313,0.032791217575501595
days_since_trough_entry_lane_cove,True,True,,
days_since_trough_entry_liverpool,True,False,0.0304063323418192,0.0675022858273255
days_since_trough_entry_mosman,True,False,0.019380789174207547,0.03275717878985499
days_since_trough_entry_north_sydney,True,False,0.027154814462684196,0.057608044728432624
days_since_trough_entry_northern_beaches,True,False,0.031128637725482747,0.06523495776736796
days_since_trough_entry_parramatta,True,False,0.009705660105936473,0.03268737842500182
days_since_trough_entry_penrith,True,False,0.02173031835518774,0.0432810262796698
days_since_trough_entry_randwick,True,False,0.033209555305379834,0.06655665367664175
days_since_trough_entry_rockdale,True,False,0.01786103634475313,0.023444336333789548
days_since_trough_entry_ryde,True,False,0.012133978921927255,0.048538367580471226
days_since_trough_entry_strathfield,True,False,0.020006102440778026,0.029894823052392164
days_since_trough_entry_sutherland_shire,True,False,0.0182847053852249,0.034944834739755626
days_since_trough_entry_sydney,True,False,0.014708601085595584,0.031423061779627816
days_since_trough_entry_the_hills_shire,True,False,0.015237698868175262,0.046447309880061585
days_since_trough_entry_waverley,True,True,,
days_since_trough_entry_willoughby,True,False,0.008363471798650306,0.044258344503957096
days_since_trough_entry_wollondilly,True,False,0.02688012652972574,0.08226591019505847
days_since_trough_entry_woollahra,True,False,0.021163592492799966,0.03433500241314448
network_px_std,True,False,0.02058473978715234,0.028440649846992558
network_px_std_delta_3d,True,False,0.03667641308215087,0.05890223571795251
lga_phase_std,True,False,0.05887554003649878,0.10721160367941564
lga_phase_std_delta_3d,True,False,0.012113680576817859,0.03256752960513565
