fold,regime,run,ll_all_mean,ll_all_median,ll_all_seedstd,ll_hard25_mean,ll_hard25_median,ll_hard25_seedstd,ll_all_mean_base,ll_hard25_mean_base,ll_all_median_base,ll_hard25_median_base,delta_ll_all_mean,delta_ll_all_median,delta_ll_hard25_mean,delta_ll_hard25_median
1,shock,R0,0.39378513265272436,0.3944593230980087,0.0036886926684315236,1.2588009456920564,1.2554782862980078,0.018333052304735944,0.39378513265272436,1.2588009456920564,0.3944593230980087,1.2554782862980078,0.0,0.0,0.0,0.0
1,shock,R1,0.3970773371713689,0.39386037319549577,0.009858588044455172,1.2673503282956968,1.250866763548117,0.03589381763517179,0.39378513265272436,1.2588009456920564,0.3944593230980087,1.2554782862980078,0.003292204518644537,-0.000598949902512913,0.008549382603640465,-0.004611522749890851
1,shock,R2,0.40681725819835357,0.4043258819914174,0.008860466739009525,1.3057393253197467,1.298249373975387,0.039403532012179124,0.39378513265272436,1.2588009456920564,0.3944593230980087,1.2554782862980078,0.013032125545629214,0.009866558893408706,0.04693837962769032,0.04277108767737925
1,shock,R3,0.39294358354738146,0.39802859860559137,0.01220685855867948,1.2567895600618526,1.2765500158493641,0.049642018290045005,0.39378513265272436,1.2588009456920564,0.3944593230980087,1.2554782862980078,-0.0008415491053428981,0.003569275507582681,-0.0020113856302037547,0.021071729551356277
2,normal,R0,0.25450806954338356,0.25723263810415337,0.018078359845717144,0.8452196969548668,0.8380078851737544,0.048187846857422105,0.25450806954338356,0.8452196969548668,0.25723263810415337,0.8380078851737544,0.0,0.0,0.0,0.0
2,normal,R1,0.25128361891021794,0.25690304237380496,0.012984401114500709,0.835654540976349,0.8371324842618422,0.045727619450035506,0.25450806954338356,0.8452196969548668,0.25723263810415337,0.8380078851737544,-0.003224450633165621,-0.0003295957303484087,-0.009565155978517814,-0.0008754009119121831
2,normal,R2,0.2507812829785368,0.25529531327298705,0.01020148891157469,0.838500869012408,0.85279500512963,0.03159174294315821,0.25450806954338356,0.8452196969548668,0.25723263810415337,0.8380078851737544,-0.0037267865648467624,-0.0019373248311663205,-0.006718827942458816,0.014787119955875672
2,normal,R3,0.2605652984045044,0.24620745157953255,0.02793509390040678,0.8595030453864645,0.8191923286026722,0.08698272938223278,0.25450806954338356,0.8452196969548668,0.25723263810415337,0.8380078851737544,0.006057228861120811,-0.011025186524620811,0.014283348431597731,-0.018815556571082137
3,normal,R0,0.3473624674365988,0.346386173673675,0.026499246467039512,1.192175418900026,1.1990024903878451,0.09177306031456892,0.3473624674365988,1.192175418900026,0.346386173673675,1.1990024903878451,0.0,0.0,0.0,0.0
3,normal,R1,0.34031168683653845,0.3346780684330427,0.019386139647597722,1.1497281146376204,1.1264869437544693,0.06346057071024606,0.3473624674365988,1.192175418900026,0.346386173673675,1.1990024903878451,-0.007050780600060369,-0.011708105240632316,-0.042447304262405616,-0.07251554663337578
3,normal,R2,0.34429984704852756,0.3260858631557106,0.035736197317759684,1.1282181204386004,1.130130950794378,0.03809335366245994,0.3473624674365988,1.192175418900026,0.346386173673675,1.1990024903878451,-0.0030626203880712577,-0.020300310517964437,-0.06395729846142562,-0.06887153959346715
3,normal,R3,0.34916618783957337,0.3522629246636539,0.03270264664821111,1.1918783736758214,1.2382763446491742,0.09785466451814741,0.3473624674365988,1.192175418900026,0.346386173673675,1.1990024903878451,0.0018037204029745513,0.005876750989978863,-0.0002970452242045951,0.03927385426132912
4,shock,R0,0.43313584491579676,0.4263807946219231,0.027406115509523026,1.2340411190803804,1.1877449281503638,0.08870943372961994,0.43313584491579676,1.2340411190803804,0.4263807946219231,1.1877449281503638,0.0,0.0,0.0,0.0
4,shock,R1,0.45772960136947083,0.43422231249151844,0.04698854916177515,1.2861559654397554,1.1978792160538834,0.16890847414240084,0.43313584491579676,1.2340411190803804,0.4263807946219231,1.1877449281503638,0.024593756453674065,0.00784151786959536,0.05211484635937502,0.010134287903519557
4,shock,R2,0.44161341558363504,0.4357158302748426,0.03677876118935874,1.247274168916907,1.2455999512611635,0.13558681553483523,0.43313584491579676,1.2340411190803804,0.4263807946219231,1.1877449281503638,0.008477570667838275,0.009335035652919543,0.013233049836526511,0.05785502311079971
4,shock,R3,0.41837201320515877,0.4197174902911539,0.021799326361069196,1.1638694954372526,1.1396303101785628,0.05943807584019464,0.43313584491579676,1.2340411190803804,0.4263807946219231,1.1877449281503638,-0.014763831710637998,-0.006663304330769171,-0.07017162364312779,-0.048114617971801055
5,normal,R0,0.2792972192816531,0.2649103372638964,0.03686354916461078,0.828504177856509,0.8311591151739205,0.014755220855345466,0.2792972192816531,0.828504177856509,0.2649103372638964,0.8311591151739205,0.0,0.0,0.0,0.0
5,normal,R1,0.2602810119290896,0.26128138117724664,0.005702105911971329,0.8378123894063186,0.8365829094597167,0.014459825236152357,0.2792972192816531,0.828504177856509,0.2649103372638964,0.8311591151739205,-0.019016207352563486,-0.0036289560866497594,0.009308211549809653,0.005423794285796202
5,normal,R2,0.26916263315220873,0.2624551095074299,0.016510379516353584,0.8539119370375022,0.8551593774206494,0.014503728138041969,0.2792972192816531,0.828504177856509,0.2649103372638964,0.8311591151739205,-0.010134586129444345,-0.002455227756466505,0.02540775918099325,0.02400026224672891
