fold,regime,run,ll_all_mean,ll_all_median,ll_all_seedstd,ll_hard25_mean,ll_hard25_median,ll_hard25_seedstd,ll_all_mean_base,ll_hard25_mean_base,ll_all_median_base,ll_hard25_median_base,delta_ll_all_mean,delta_ll_all_median,delta_ll_hard25_mean,delta_ll_hard25_median
1,shock,R0,0.39378513265272436,0.3944593230980087,0.0036886926684315236,1.2588009456920564,1.2554782862980078,0.018333052304735944,0.39378513265272436,1.2588009456920564,0.3944593230980087,1.2554782862980078,0.0,0.0,0.0,0.0
1,shock,R_composite,0.39542661678255825,0.3944593230980087,0.0062102727682355275,1.2655514270763732,1.2736911996069324,0.01886430555400733,0.39378513265272436,1.2588009456920564,0.3944593230980087,1.2554782862980078,0.0016414841298338922,0.0,0.0067504813843168865,0.018212913308924605
1,shock,R_raw,0.40433025994677446,0.3986875116087395,0.011336031639860836,1.2906563096573929,1.2894621112636089,0.03590238184203512,0.39378513265272436,1.2588009456920564,0.3944593230980087,1.2554782862980078,0.010545127294050105,0.004228188510730813,0.0318553639653365,0.03398382496560104
2,normal,R0,0.25450806954338356,0.25723263810415337,0.018078359845717144,0.8452196969548668,0.8380078851737544,0.048187846857422105,0.25450806954338356,0.8452196969548668,0.25723263810415337,0.8380078851737544,0.0,0.0,0.0,0.0
2,normal,R_composite,0.25450806954338356,0.25723263810415337,0.018078359845717144,0.8452196969548668,0.8380078851737544,0.048187846857422105,0.25450806954338356,0.8452196969548668,0.25723263810415337,0.8380078851737544,0.0,0.0,0.0,0.0
2,normal,R_raw,0.250784293987565,0.25255523024832766,0.010725871647768883,0.8290847000485808,0.8320195039912122,0.03307577407001191,0.25450806954338356,0.8452196969548668,0.25723263810415337,0.8380078851737544,-0.0037237755558185426,-0.00467740785582571,-0.016134996906285948,-0.005988381182542191
3,normal,R0,0.3473624674365988,0.346386173673675,0.026499246467039512,1.192175418900026,1.1990024903878451,0.09177306031456892,0.3473624674365988,1.192175418900026,0.346386173673675,1.1990024903878451,0.0,0.0,0.0,0.0
3,normal,R_composite,0.34749038721935344,0.3470257725874483,0.026494898800709942,1.1945573282953545,1.2109120373644877,0.09214833544691849,0.3473624674365988,1.192175418900026,0.346386173673675,1.1990024903878451,0.00012791978275461524,0.0006395989137732982,0.002381909395328563,0.011909546976642593
3,normal,R_raw,0.34437614144423967,0.33531689940253206,0.02497916597724034,1.1768634257373598,1.1609577534071316,0.0634250307024302,0.3473624674365988,1.192175418900026,0.346386173673675,1.1990024903878451,-0.002986325992359151,-0.01106927427114296,-0.015311993162666182,-0.038044736980713534
4,shock,R0,0.43313584491579676,0.4263807946219231,0.027406115509523026,1.2340411190803804,1.1877449281503638,0.08870943372961994,0.43313584491579676,1.2340411190803804,0.4263807946219231,1.1877449281503638,0.0,0.0,0.0,0.0
