fold,regime,val_start,val_end,val_rows,run,n_features,seed,ll_all,ll_hard25,fit_s
1,shock,2021-11-05,2022-02-02,47823,R0,54,42,0.3944593230980087,1.2810833376070383,2.216917125013424
1,shock,2021-11-05,2022-02-02,47823,R0,54,43,0.39331041552098706,1.2554782862980078,2.091391333990032
1,shock,2021-11-05,2022-02-02,47823,R0,54,44,0.3968359377644161,1.2736911996069324,2.1126703750051092
1,shock,2021-11-05,2022-02-02,47823,R0,54,45,0.38773526980203593,1.2372809704377725,2.0767821249901317
1,shock,2021-11-05,2022-02-02,47823,R0,54,46,0.39658471707817394,1.2464709345105305,2.089293375000125
1,shock,2021-11-05,2022-02-02,47823,R_raw,56,42,0.3972961263677042,1.2586862866622675,2.2889492910180707
1,shock,2021-11-05,2022-02-02,47823,R_raw,56,43,0.3986875116087395,1.2894621112636089,2.2117269160225987
1,shock,2021-11-05,2022-02-02,47823,R_raw,56,44,0.4145436976758127,1.3288547953604304,2.165694249997614
1,shock,2021-11-05,2022-02-02,47823,R_raw,56,45,0.4183164757678498,1.3246125882882933,2.1925972920143977
1,shock,2021-11-05,2022-02-02,47823,R_raw,56,46,0.392807488313766,1.2516657667123645,2.1957047499890905
1,shock,2021-11-05,2022-02-02,47823,R_composite,55,42,0.3944593230980087,1.2810833376070383,2.163211417006096
1,shock,2021-11-05,2022-02-02,47823,R_composite,55,43,0.39331041552098706,1.2554782862980078,2.133687541994732
1,shock,2021-11-05,2022-02-02,47823,R_composite,55,44,0.3968359377644161,1.2736911996069324,2.2041519999911543
1,shock,2021-11-05,2022-02-02,47823,R_composite,55,45,0.38773526980203593,1.2372809704377725,2.147826999978861
1,shock,2021-11-05,2022-02-02,47823,R_composite,55,46,0.4047921377273435,1.2802233414321145,2.184123291983269
2,normal,2022-02-03,2022-05-03,49966,R0,54,42,0.24565167645024125,0.8575109878583437,2.323437749990262
2,normal,2022-02-03,2022-05-03,49966,R0,54,43,0.25723263810415337,0.8345407475757499,2.2096775409881957
2,normal,2022-02-03,2022-05-03,49966,R0,54,44,0.23014012863340874,0.7811035472562547,2.2144631250121165
