fold,feat_a,feat_b,shap_corr,note
6,network_disc_gap,lga_phase_std,0.2522126187719813,
6,network_disc_gap,lga_phase_std_delta_3d,0.024104447184238192,
6,network_disc_gap_delta_3d,lga_phase_std,0.19172113594733234,
6,network_disc_gap_delta_3d,lga_phase_std_delta_3d,-0.0632518149303058,
6,lga_phase_std,lga_phase_std_delta_3d,0.10295092378704576,
7,network_px_std,network_px_std_delta_3d,0.16995132695317658,
7,network_px_std,network_disc_gap,-0.18927229782111,
7,network_px_std,network_disc_gap_delta_3d,-0.05807332180325676,
7,network_px_std,lga_phase_std,0.019852747536453223,
7,network_px_std,lga_phase_std_delta_3d,0.18905985352309074,
7,network_px_std_delta_3d,network_disc_gap,0.022241954932112583,
7,network_px_std_delta_3d,network_disc_gap_delta_3d,0.26848913888563913,
7,network_px_std_delta_3d,lga_phase_std,0.5969329305972817,
7,network_px_std_delta_3d,lga_phase_std_delta_3d,0.6220279394238656,
7,network_disc_gap,network_disc_gap_delta_3d,0.47441782205116767,
7,network_disc_gap,lga_phase_std,0.21299967596602742,
7,network_disc_gap,lga_phase_std_delta_3d,-0.11121596647880345,
7,network_disc_gap_delta_3d,lga_phase_std,0.22713504129591716,
7,network_disc_gap_delta_3d,lga_phase_std_delta_3d,0.2343135444101431,
7,lga_phase_std,lga_phase_std_delta_3d,0.4009471907914646,
8,network_px_std,network_px_std_delta_3d,0.5639835643020084,
8,network_px_std,network_disc_gap,0.20744127206704965,
8,network_px_std,network_disc_gap_delta_3d,0.1550857943152355,
8,network_px_std,lga_phase_std,0.23502790805142423,
8,network_px_std,lga_phase_std_delta_3d,0.19596018107468663,
8,network_px_std_delta_3d,network_disc_gap,0.015787494804403144,
8,network_px_std_delta_3d,network_disc_gap_delta_3d,0.22791294340647386,
8,network_px_std_delta_3d,lga_phase_std,0.4717228280774475,
8,network_px_std_delta_3d,lga_phase_std_delta_3d,0.3215097249223991,
8,network_disc_gap,network_disc_gap_delta_3d,-0.23237047170271985,
8,network_disc_gap,lga_phase_std,0.11067319801020634,
