fold,regime,val_start,val_end,val_rows,n_lated,run,n_features,seed,ll_all,ll_hard25,ll_hard10,ll_lated,fit_s
1,shock,2021-11-05,2022-02-02,47823,4273,R0_baseline,50,42,0.40190510003360563,1.2807329665436873,1.9456492773217113,0.552950242365369,2.062351958000363
1,shock,2021-11-05,2022-02-02,47823,4273,R0_baseline,50,43,0.39679777027672636,1.2542692480737039,1.8873505341192027,0.5564559898051762,1.8959394579978834
1,shock,2021-11-05,2022-02-02,47823,4273,R0_baseline,50,44,0.4222007472164518,1.3318810046254286,1.965136253618526,0.5897538252136512,1.9025794170011068
1,shock,2021-11-05,2022-02-02,47823,4273,R0_baseline,50,45,0.4009560302149539,1.266633065071017,1.8786042895957045,0.5633525396032432,2.1609454169993114
1,shock,2021-11-05,2022-02-02,47823,4273,R0_baseline,50,46,0.39953749674125766,1.1766078018152717,1.797976941898127,0.5354656793115321,2.090845583999908
1,shock,2021-11-05,2022-02-02,47823,4273,R1_ABC,56,42,0.36041152285100425,1.0766566921020213,1.6083884255909267,0.5252850513542404,2.3399011670007894
1,shock,2021-11-05,2022-02-02,47823,4273,R1_ABC,56,43,0.3666503000961925,1.0809043385967279,1.6000260799838353,0.5356913380845968,2.1616229169994767
1,shock,2021-11-05,2022-02-02,47823,4273,R1_ABC,56,44,0.3857258744932516,1.1821376430483173,1.7689088147243772,0.5535111924617676,2.1669900420019985
1,shock,2021-11-05,2022-02-02,47823,4273,R1_ABC,56,45,0.3631043552518809,1.0827841563627556,1.608522939051506,0.5228004837710412,2.1227320420002798
1,shock,2021-11-05,2022-02-02,47823,4273,R1_ABC,56,46,0.3675069983618547,1.1196466925795792,1.6868383751773692,0.530842804262695,2.1381634999997914
1,shock,2021-11-05,2022-02-02,47823,4273,R2_drop_A,54,42,0.40045383809305307,1.1704143151337065,1.698749445664917,0.5670876552272732,2.0883877919986844
1,shock,2021-11-05,2022-02-02,47823,4273,R2_drop_A,54,43,0.40347585740847436,1.2104005404497868,1.7904585346065804,0.5517690173921349,2.080980000002455
1,shock,2021-11-05,2022-02-02,47823,4273,R2_drop_A,54,44,0.37868697406834606,1.1270912141481515,1.685971531466823,0.5574806842623846,2.107906875000481
