fold,regime,run,ll_all,ll_hard25,ll_hard10,ll_lated,ll_all_std,ll_hard25_std,ll_all_base,ll_hard25_base,ll_hard10_base,ll_lated_base,delta_all,delta_hard25,delta_hard10,delta_lated
1,shock,R0_baseline,0.40427942889659907,1.2620248172258217,1.8949434593106542,0.5595956552597944,0.010201926324700508,0.056141190519151646,0.40427942889659907,1.2620248172258217,1.8949434593106542,0.5595956552597944,0.0,0.0,0.0,0.0
1,shock,R1_ABC,0.36867981021083673,1.1084259045378801,1.6545369269056027,0.5336261739868682,0.009943754073825502,0.044675343251709375,0.40427942889659907,1.2620248172258217,1.8949434593106542,0.5595956552597944,-0.035599618685762335,-0.15359891268794157,-0.2404065324050515,-0.025969481272926198
1,shock,R2_drop_A,0.38772271190546237,1.15882500689408,1.715659743949626,0.5487935862610297,0.013551146705819994,0.03286207292440013,0.40427942889659907,1.2620248172258217,1.8949434593106542,0.5595956552597944,-0.0165567169911367,-0.10319981033174175,-0.17928371536102827,-0.01080206899876468
1,shock,R3_drop_B,0.38681191265426784,1.2099910044555158,1.822813464576214,0.5451347261887503,0.007653001798717782,0.030631521092947644,0.40427942889659907,1.2620248172258217,1.8949434593106542,0.5595956552597944,-0.017467516242331227,-0.05203381277030594,-0.07212999473444026,-0.014460929071044126
1,shock,R4_drop_C,0.37527229830287795,1.136582651809984,1.6907387022237965,0.5409463242440401,0.01121094075960696,0.04555986450101321,0.40427942889659907,1.2620248172258217,1.8949434593106542,0.5595956552597944,-0.02900713059372112,-0.12544216541583775,-0.2042047570868577,-0.018649331015754278
1,shock,R5_A_only,0.3977701134081434,1.2528924683084175,1.9063879267362878,0.5774248911989612,0.005786464581972199,0.031019634177706385,0.40427942889659907,1.2620248172258217,1.8949434593106542,0.5595956552597944,-0.00650931548845568,-0.00913234891740422,0.011444467425633542,0.017829235939166854
1,shock,R6_B_only,0.39827236209245104,1.2145295121306783,1.7950235474595808,0.5561177482668536,0.013625168376218156,0.04193639817939127,0.40427942889659907,1.2620248172258217,1.8949434593106542,0.5595956552597944,-0.006007066804148031,-0.047495305095143436,-0.0999199118510734,-0.0034779069929408157
1,shock,R7_C_only,0.37502633776632,1.1381020567590223,1.7236583782091905,0.5374370059640149,0.008483478051934742,0.03706560697532214,0.40427942889659907,1.2620248172258217,1.8949434593106542,0.5595956552597944,-0.029253091130279074,-0.1239227604667994,-0.17128508110146368,-0.022158649295779487
2,normal,R0_baseline,0.24961356427869458,0.8275711122158811,1.4066045446674527,0.06219952700148725,0.015327459950761043,0.06381447993294498,0.24961356427869458,0.8275711122158811,1.4066045446674527,0.06219952700148725,0.0,0.0,0.0,0.0
2,normal,R1_ABC,1.139728666513076,1.078091901464393,1.4565214781244165,1.2633396971929858,2.004656262651788,0.7184713758492421,0.24961356427869458,0.8275711122158811,1.4066045446674527,0.06219952700148725,0.8901151022343814,0.25052078924851195,0.0499169334569638,1.2011401701914985
2,normal,R2_drop_A,0.2640756327361197,0.8381808615565429,1.366398849430191,0.045923449146346274,0.022165797130723846,0.05825413562794096,0.24961356427869458,0.8275711122158811,1.4066045446674527,0.06219952700148725,0.014462068457425148,0.010609749340661834,-0.040205695237261585,-0.01627607785514098
2,normal,R3_drop_B,0.24608690379887305,0.8056208367037703,1.351904235384006,0.03986771356037386,0.012959904277756213,0.03184239841236964,0.24961356427869458,0.8275711122158811,1.4066045446674527,0.06219952700148725,-0.0035266604798215306,-0.021950275512110817,-0.0547003092834466,-0.022331813441113395
2,normal,R4_drop_C,0.25340836571857894,0.7871613439764866,1.248715600235716,0.04762747145884971,0.01974477950883721,0.052370246397861614,0.24961356427869458,0.8275711122158811,1.4066045446674527,0.06219952700148725,0.0037948014398843655,-0.04040976823939446,-0.15788894443173662,-0.01457205554263754
2,normal,R5_A_only,0.2634480347104474,0.8721327731390291,1.4556109368309336,0.046637430137593805,0.03924936087768239,0.08968559892967978,0.24961356427869458,0.8275711122158811,1.4066045446674527,0.06219952700148725,0.013834470431752843,0.04456166092314806,0.049006392163480905,-0.015562096863893447
2,normal,R6_B_only,0.2585655709181341,0.8325032652173023,1.3676120708534447,0.03529899456314343,0.009327514978517552,0.02271387394119182,0.24961356427869458,0.8275711122158811,1.4066045446674527,0.06219952700148725,0.008952006639439514,0.004932153001421247,-0.038992473814007944,-0.026900532438343824
2,normal,R7_C_only,0.24146385013584437,0.7989178557521631,1.347007337235863,0.04065342183113273,0.02034042575426846,0.057854776302473994,0.24961356427869458,0.8275711122158811,1.4066045446674527,0.06219952700148725,-0.008149714142850206,-0.02865325646371797,-0.05959720743158958,-0.021546105170354525
3,normal,R0_baseline,0.39667663782638296,1.4017624248862965,2.213539979922428,1.168564379891331,0.02686739259617811,0.0966254545676678,0.39667663782638296,1.4017624248862965,2.213539979922428,1.168564379891331,0.0,0.0,0.0,0.0
3,normal,R1_ABC,0.35613424973736496,1.1844038820073044,1.8059342817644306,0.9403632335085783,0.08336947971879204,0.18646074523288603,0.39667663782638296,1.4017624248862965,2.213539979922428,1.168564379891331,-0.040542388089018,-0.21735854287899214,-0.4076056981579974,-0.22820114638275268
3,normal,R2_drop_A,0.3975128192801403,1.3306772654973447,2.026870752861717,1.1652504648676891,0.04532736845348795,0.08154556111195056,0.39667663782638296,1.4017624248862965,2.213539979922428,1.168564379891331,0.0008361814537573564,-0.07108515938895188,-0.18666922706071087,-0.003313915023641867
3,normal,R3_drop_B,0.36671298623125714,1.1791102232195563,1.8905885245518115,0.9144246915815899,0.06973532787922852,0.088461901115036,0.39667663782638296,1.4017624248862965,2.213539979922428,1.168564379891331,-0.029963651595125818,-0.22265220166674027,-0.32295145537061654,-0.2541396883097411
3,normal,R4_drop_C,0.32950533077392485,1.1248568712824727,1.7617164202771174,0.927254204178292,0.010024048515049216,0.04865229758943034,0.39667663782638296,1.4017624248862965,2.213539979922428,1.168564379891331,-0.0671713070524581,-0.27690555360382385,-0.4518235596453106,-0.24131017571303903
3,normal,R5_A_only,0.3479067118468854,1.1896153326334504,1.878478852091586,0.9272591442645854,0.015165164491918293,0.06650179569787623,0.39667663782638296,1.4017624248862965,2.213539979922428,1.168564379891331,-0.048769925979497586,-0.21214709225284611,-0.33506112783084196,-0.24130523562674555
3,normal,R6_B_only,0.3613391527284716,1.2636603553781212,2.0133080499136833,1.0689614438721633,0.017001330869058966,0.05907626959264555,0.39667663782638296,1.4017624248862965,2.213539979922428,1.168564379891331,-0.03533748509791135,-0.13810206950817538,-0.20023193000874473,-0.0996029360191677
3,normal,R7_C_only,0.40972220514745217,1.4068377974730333,2.1460964818640655,1.1455544486795959,0.02609687859276679,0.08414360674899292,0.39667663782638296,1.4017624248862965,2.213539979922428,1.168564379891331,0.013045567321069207,0.005075372586736737,-0.06744349805836247,-0.023009931211735113
4,shock,R0_baseline,0.41818946291336057,1.2290236322231496,1.9041758745035495,0.5656278509539818,0.01549663852707652,0.05500481563138037,0.41818946291336057,1.2290236322231496,1.9041758745035495,0.5656278509539818,0.0,0.0,0.0,0.0
4,shock,R1_ABC,0.4275019754809922,1.2033716323480887,1.7941381907260592,0.5954816597349006,0.025236456790774117,0.051230624155461486,0.41818946291336057,1.2290236322231496,1.9041758745035495,0.5656278509539818,0.009312512567631659,-0.025651999875060838,-0.11003768377749035,0.02985380878091881
4,shock,R2_drop_A,0.43858337600932484,1.3327009971331425,2.0511952434780842,0.6348153863044779,0.03506848755565917,0.09397655746308885,0.41818946291336057,1.2290236322231496,1.9041758745035495,0.5656278509539818,0.020393913095964278,0.10367736490999291,0.14701936897453471,0.06918753535049604
4,shock,R3_drop_B,0.40479724186061733,1.1499551134642618,1.7083752120492224,0.5766129501849218,0.00708023441497605,0.039986919823676366,0.41818946291336057,1.2290236322231496,1.9041758745035495,0.5656278509539818,-0.013392221052743236,-0.07906851875888776,-0.19580066245432715,0.010985099230939932
