fold,regime,val_start,val_end,val_rows,run,seed,ll_all,ll_hard25,hard25_thresh,hard10_thresh,fit_s
1,shock,2021-11-05,2022-02-02,47823,R0_baseline,42,0.40190510003360563,1.2807329665436873,0.5693305298933413,1.1998287898359505,2.2050203750113724
1,shock,2021-11-05,2022-02-02,47823,R0_baseline,43,0.39679777027672636,1.2542692480737039,0.5693305298933413,1.1998287898359505,1.96804287499981
1,shock,2021-11-05,2022-02-02,47823,R0_baseline,44,0.4222007472164518,1.3318810046254286,0.5693305298933413,1.1998287898359505,1.9386237080034334
1,shock,2021-11-05,2022-02-02,47823,R0_baseline,45,0.4009560302149539,1.266633065071017,0.5693305298933413,1.1998287898359505,1.94345787500788
1,shock,2021-11-05,2022-02-02,47823,R0_baseline,46,0.39953749674125766,1.1766078018152717,0.5693305298933413,1.1998287898359505,1.9479027919878718
1,shock,2021-11-05,2022-02-02,47823,R5_A_only,42,0.39512899952853564,1.2350863349760686,0.5693305298933413,1.1998287898359505,2.0377656670025317
1,shock,2021-11-05,2022-02-02,47823,R5_A_only,43,0.3931558839117755,1.2388074828039386,0.5693305298933413,1.1998287898359505,2.056484333006665
1,shock,2021-11-05,2022-02-02,47823,R5_A_only,44,0.40044274872045,1.2828786006743413,0.5693305298933413,1.1998287898359505,2.009257166995667
1,shock,2021-11-05,2022-02-02,47823,R5_A_only,45,0.40669556522914524,1.2887193288941903,0.5693305298933413,1.1998287898359505,2.0176370419940213
1,shock,2021-11-05,2022-02-02,47823,R5_A_only,46,0.39342736965081054,1.218970594193548,0.5693305298933413,1.1998287898359505,2.017093250004109
2,normal,2022-02-03,2022-05-03,49966,R0_baseline,42,0.26870690859987884,0.9293979658312981,0.24387412812917592,0.8275104839489564,2.09343170899956
2,normal,2022-02-03,2022-05-03,49966,R0_baseline,43,0.25281262939570626,0.8245595578862388,0.24387412812917592,0.8275104839489564,2.069118166997214
2,normal,2022-02-03,2022-05-03,49966,R0_baseline,44,0.2308532546117474,0.7552216580545412,0.24387412812917592,0.8275104839489564,2.047821792002651
2,normal,2022-02-03,2022-05-03,49966,R0_baseline,45,0.25801479564180574,0.8271192268422858,0.24387412812917592,0.8275104839489564,2.027315332990838
2,normal,2022-02-03,2022-05-03,49966,R0_baseline,46,0.2376802331443347,0.8015571524650413,0.24387412812917592,0.8275104839489564,2.011518082988914
2,normal,2022-02-03,2022-05-03,49966,R5_A_only,42,0.25571195171764494,0.8549817115288991,0.24387412812917592,0.8275104839489564,2.104634500006796
2,normal,2022-02-03,2022-05-03,49966,R5_A_only,43,0.2462814460749266,0.8378806541161739,0.24387412812917592,0.8275104839489564,2.1005651250015944
2,normal,2022-02-03,2022-05-03,49966,R5_A_only,44,0.3327922436442934,1.0296091801259601,0.24387412812917592,0.8275104839489564,2.1052048340061447
2,normal,2022-02-03,2022-05-03,49966,R5_A_only,45,0.2436111851076431,0.8309721150291223,0.24387412812917592,0.8275104839489564,2.109877040988067
2,normal,2022-02-03,2022-05-03,49966,R5_A_only,46,0.23884334700772905,0.8072202048949901,0.24387412812917592,0.8275104839489564,2.1494225000060396
3,normal,2022-05-04,2022-08-01,53719,R0_baseline,42,0.37661102227567017,1.3359997152105543,0.36190241111144406,1.351375094778182,2.2621832089935197
3,normal,2022-05-04,2022-08-01,53719,R0_baseline,43,0.4287039832168082,1.5136805557384565,0.36190241111144406,1.351375094778182,2.158282500007772
3,normal,2022-05-04,2022-08-01,53719,R0_baseline,44,0.42097031532200246,1.4898961996902778,0.36190241111144406,1.351375094778182,2.1398567919968627
3,normal,2022-05-04,2022-08-01,53719,R0_baseline,45,0.38883575370353934,1.3776942447170277,0.36190241111144406,1.351375094778182,2.1593525420030346
3,normal,2022-05-04,2022-08-01,53719,R0_baseline,46,0.3682621146138947,1.2915414090751667,0.36190241111144406,1.351375094778182,2.1752490000071703
3,normal,2022-05-04,2022-08-01,53719,R5_A_only,42,0.3435807823436918,1.2023935828801469,0.36190241111144406,1.351375094778182,2.281512625006144
3,normal,2022-05-04,2022-08-01,53719,R5_A_only,43,0.335217100245272,1.1430757368713942,0.36190241111144406,1.351375094778182,2.2980669579992536
3,normal,2022-05-04,2022-08-01,53719,R5_A_only,44,0.3360662361730101,1.1383619599242722,0.36190241111144406,1.351375094778182,2.2959013749932637
3,normal,2022-05-04,2022-08-01,53719,R5_A_only,45,0.35275199538230523,1.164594629802403,0.36190241111144406,1.351375094778182,2.2781408339942573
3,normal,2022-05-04,2022-08-01,53719,R5_A_only,46,0.3719174450901479,1.2996507536890358,0.36190241111144406,1.351375094778182,2.3220939159946283
4,shock,2022-08-02,2022-10-30,58317,R0_baseline,42,0.420524291795595,1.2673947506696077,0.5370249033774686,1.2080578455245616,2.4566277080011787
4,shock,2022-08-02,2022-10-30,58317,R0_baseline,43,0.4002071771843062,1.1794740422699608,0.5370249033774686,1.2080578455245616,2.3392367909982568
4,shock,2022-08-02,2022-10-30,58317,R0_baseline,44,0.44222927495852365,1.305715694145356,0.5370249033774686,1.2080578455245616,2.306693582999287
4,shock,2022-08-02,2022-10-30,58317,R0_baseline,45,0.4109403506153726,1.2048379147995767,0.5370249033774686,1.2080578455245616,2.294703417006531
4,shock,2022-08-02,2022-10-30,58317,R0_baseline,46,0.41704622001300534,1.1876957592312467,0.5370249033774686,1.2080578455245616,2.3184622080007102
4,shock,2022-08-02,2022-10-30,58317,R5_A_only,42,0.42502785468694476,1.1475879881145903,0.5370249033774686,1.2080578455245616,2.418348209001124
4,shock,2022-08-02,2022-10-30,58317,R5_A_only,43,0.4131723277416139,1.128331183137761,0.5370249033774686,1.2080578455245616,2.405790999997407
4,shock,2022-08-02,2022-10-30,58317,R5_A_only,44,0.44313365703251906,1.24826096449884,0.5370249033774686,1.2080578455245616,2.4114157919975696
4,shock,2022-08-02,2022-10-30,58317,R5_A_only,45,0.4050634029165932,1.1214116689511684,0.5370249033774686,1.2080578455245616,2.3962950829882175
4,shock,2022-08-02,2022-10-30,58317,R5_A_only,46,0.4403781978026902,1.216102070941114,0.5370249033774686,1.2080578455245616,2.4129241249902407
5,normal,2022-10-31,2023-01-28,57613,R0_baseline,42,0.2939803554108413,0.9772454277802225,0.3186939800066973,0.970625813696715,2.758543917007046
5,normal,2022-10-31,2023-01-28,57613,R0_baseline,43,0.29948893288603495,0.9610546834347568,0.3186939800066973,0.970625813696715,2.450895292000496
5,normal,2022-10-31,2023-01-28,57613,R0_baseline,44,0.31552008735996423,1.02612619813394,0.3186939800066973,0.970625813696715,2.479652082998655
5,normal,2022-10-31,2023-01-28,57613,R0_baseline,45,0.27494187376651397,0.8903628586881172,0.3186939800066973,0.970625813696715,2.453974542004289
5,normal,2022-10-31,2023-01-28,57613,R0_baseline,46,0.287450536985236,0.9400350625674865,0.3186939800066973,0.970625813696715,2.4539290419925237
5,normal,2022-10-31,2023-01-28,57613,R5_A_only,42,0.2567951667696752,0.797070391879047,0.3186939800066973,0.970625813696715,2.5284462500130758
5,normal,2022-10-31,2023-01-28,57613,R5_A_only,43,0.2538780621891883,0.7852301654472036,0.3186939800066973,0.970625813696715,2.5167254580010194
5,normal,2022-10-31,2023-01-28,57613,R5_A_only,44,0.29390067257628644,0.8895966459132709,0.3186939800066973,0.970625813696715,2.5824423339945497
5,normal,2022-10-31,2023-01-28,57613,R5_A_only,45,0.2699423843835554,0.8501537629743299,0.3186939800066973,0.970625813696715,2.5399558750068536
5,normal,2022-10-31,2023-01-28,57613,R5_A_only,46,0.259544118199549,0.8186696014683859,0.3186939800066973,0.970625813696715,2.5433822499908274
6,normal,2023-01-29,2023-04-28,57361,R0_baseline,42,0.21814575196132616,0.7681255186952684,0.22358312033861433,0.6773830244461138,2.5914464999950724
6,normal,2023-01-29,2023-04-28,57361,R0_baseline,43,0.21810939574304986,0.7738385914536569,0.22358312033861433,0.6773830244461138,2.5606969999935245
6,normal,2023-01-29,2023-04-28,57361,R0_baseline,44,0.21321491480999755,0.7570101956733397,0.22358312033861433,0.6773830244461138,2.5716965830069967
6,normal,2023-01-29,2023-04-28,57361,R0_baseline,45,0.21994291579341932,0.7650961186832339,0.22358312033861433,0.6773830244461138,2.5487509579979815
