cadence_days,always_cpl,oracle_cpl,always_minus_oracle,oracle_fills,oracle_emergency_pct,oracle_mean_fill_litres,oracle_litres,always_litres,wall_s
7,193.9791907514451,188.4551020408163,5.524088710628774,662,53.92749244712991,31.457703927492446,20825.0,21625.0,0.006673666066490114
3,193.43855479342798,186.10469653197987,7.333858261448114,949,57.95574288724974,22.43715244678609,21292.857672000002,22389.285714285717,0.020650291931815445
2,193.47056126482212,185.34494169810145,8.125619566720673,1053,40.2659069325736,20.383936669515666,21464.285312999997,22589.28571428573,0.07120995793957263
1,193.4497580771037,184.9754091889254,8.474348888178298,1408,32.03125,15.358666485795453,21625.002412,22882.14285714279,0.1420412081060931
