station_code,name,address,suburb,postcode,brand,fuel_code,price,date
1962,Metro St Ives Chase,"164 Warrimoo Avenue, St Ives Chase NSW 2075",St Ives Chase,2075,Metro Fuel,PDL,247.9,2026-05-06
1962,Metro St Ives Chase,"164 Warrimoo Avenue, St Ives Chase NSW 2075",St Ives Chase,2075,Metro Fuel,U91,176.9,2026-05-06
1963,Speedway Green Valley,"182 Green Valley Rd, Green Valley NSW 2168",Green Valley,2168,Speedway,DL,241.5,2026-05-06
1963,Speedway Green Valley,"182 Green Valley Rd, Green Valley NSW 2168",Green Valley,2168,Speedway,E10,177.5,2026-05-06
1963,Speedway Green Valley,"182 Green Valley Rd, Green Valley NSW 2168",Green Valley,2168,Speedway,P98,203.5,2026-05-06
1963,Speedway Green Valley,"182 Green Valley Rd, Green Valley NSW 2168",Green Valley,2168,Speedway,U91,179.5,2026-05-06
1964,B & E Doherty P/L Independent Wauchope,"57 High Street, Wauchope NSW 2446",Wauchope,2446,Independent,P95,201.0,2026-05-06
1964,B & E Doherty P/L Independent Wauchope,"57 High Street, Wauchope NSW 2446",Wauchope,2446,Independent,P98,209.0,2026-05-06
1964,B & E Doherty P/L Independent Wauchope,"57 High Street, Wauchope NSW 2446",Wauchope,2446,Independent,PDL,239.0,2026-05-06
1964,B & E Doherty P/L Independent Wauchope,"57 High Street, Wauchope NSW 2446",Wauchope,2446,Independent,U91,188.0,2026-05-06
1968,Ampol Breeze Vincentia,"153 Elizabeth Dr, Vincentia NSW 2540",Vincentia,2540,Ampol Breeze,P95,213.5,2026-05-06
1968,Ampol Breeze Vincentia,"153 Elizabeth Dr, Vincentia NSW 2540",Vincentia,2540,Ampol Breeze,P98,221.5,2026-05-06
1968,Ampol Breeze Vincentia,"153 Elizabeth Dr, Vincentia NSW 2540",Vincentia,2540,Ampol Breeze,PDL,247.9,2026-05-06
1968,Ampol Breeze Vincentia,"153 Elizabeth Dr, Vincentia NSW 2540",Vincentia,2540,Ampol Breeze,U91,197.5,2026-05-06
1969,Ampol Breeze Bomaderry,"246 Princes Hwy, Bomaderry NSW 2541",Bomaderry,2541,Ampol Breeze,DL,242.5,2026-05-06
1969,Ampol Breeze Bomaderry,"246 Princes Hwy, Bomaderry NSW 2541",Bomaderry,2541,Ampol Breeze,E10,181.9,2026-05-06
1969,Ampol Breeze Bomaderry,"246 Princes Hwy, Bomaderry NSW 2541",Bomaderry,2541,Ampol Breeze,P95,200.9,2026-05-06
1969,Ampol Breeze Bomaderry,"246 Princes Hwy, Bomaderry NSW 2541",Bomaderry,2541,Ampol Breeze,P98,210.9,2026-05-06
1969,Ampol Breeze Bomaderry,"246 Princes Hwy, Bomaderry NSW 2541",Bomaderry,2541,Ampol Breeze,PDL,245.5,2026-05-06
1969,Ampol Breeze Bomaderry,"246 Princes Hwy, Bomaderry NSW 2541",Bomaderry,2541,Ampol Breeze,U91,183.9,2026-05-06
1971,Ampol Breeze Shoalhaven Heads,"52-54 Shoalhaven Heads Rd, Shoalhaven Heads NSW 2535",Shoalhaven Heads,2535,Ampol Breeze,P95,215.5,2026-05-06
1971,Ampol Breeze Shoalhaven Heads,"52-54 Shoalhaven Heads Rd, Shoalhaven Heads NSW 2535",Shoalhaven Heads,2535,Ampol Breeze,P98,224.5,2026-05-06
1971,Ampol Breeze Shoalhaven Heads,"52-54 Shoalhaven Heads Rd, Shoalhaven Heads NSW 2535",Shoalhaven Heads,2535,Ampol Breeze,PDL,249.5,2026-05-06
1971,Ampol Breeze Shoalhaven Heads,"52-54 Shoalhaven Heads Rd, Shoalhaven Heads NSW 2535",Shoalhaven Heads,2535,Ampol Breeze,U91,199.5,2026-05-06
1972,Ampol Breeze Port Kembla,"16 Flinders St, Port Kembla NSW 2505",Port Kembla,2505,Ampol Breeze,DL,236.9,2026-05-06
1972,Ampol Breeze Port Kembla,"16 Flinders St, Port Kembla NSW 2505",Port Kembla,2505,Ampol Breeze,P95,199.9,2026-05-06
1972,Ampol Breeze Port Kembla,"16 Flinders St, Port Kembla NSW 2505",Port Kembla,2505,Ampol Breeze,PDL,239.9,2026-05-06
1973,Ampol Breeze Gwynneville,"162 Gipps Rd, Gwynneville NSW 2500",Gwynneville,2500,Ampol Breeze,P98,214.9,2026-05-06
1973,Ampol Breeze Gwynneville,"162 Gipps Rd, Gwynneville NSW 2500",Gwynneville,2500,Ampol Breeze,PDL,246.5,2026-05-06
1973,Ampol Breeze Gwynneville,"162 Gipps Rd, Gwynneville NSW 2500",Gwynneville,2500,Ampol Breeze,U91,189.9,2026-05-06
1975,Ampol Thirroul,"242 Lawrence Hargrave Drive, Thirroul NSW 2515",Thirroul,2515,Ampol,DL,246.9,2026-05-06
1975,Ampol Thirroul,"242 Lawrence Hargrave Drive, Thirroul NSW 2515",Thirroul,2515,Ampol,P95,194.9,2026-05-06
1975,Ampol Thirroul,"242 Lawrence Hargrave Drive, Thirroul NSW 2515",Thirroul,2515,Ampol,U91,179.9,2026-05-06
1976,Narooma Fuels,"90 Campbell St, Narooma NSW 2546",Narooma,2546,Independent,DL,249.9,2026-05-06
1976,Narooma Fuels,"90 Campbell St, Narooma NSW 2546",Narooma,2546,Independent,P98,234.9,2026-05-06
1976,Narooma Fuels,"90 Campbell St, Narooma NSW 2546",Narooma,2546,Independent,U91,192.9,2026-05-06
1978,Caltex Colo Heights,"3356 Putty Road, Colo Heights NSW 2756",Colo Heights,2756,Caltex,DL,255.9,2026-05-06
1978,Caltex Colo Heights,"3356 Putty Road, Colo Heights NSW 2756",Colo Heights,2756,Caltex,LPG,139.9,2026-05-06
1978,Caltex Colo Heights,"3356 Putty Road, Colo Heights NSW 2756",Colo Heights,2756,Caltex,P95,201.9,2026-05-06
1978,Caltex Colo Heights,"3356 Putty Road, Colo Heights NSW 2756",Colo Heights,2756,Caltex,U91,185.9,2026-05-06
1979,BP Stanford Merthyr,"9 Mulbring Street, Stanford Merthyr NSW 2327",Stanford Merthyr,2327,BP,DL,254.9,2026-05-06
1979,BP Stanford Merthyr,"9 Mulbring Street, Stanford Merthyr NSW 2327",Stanford Merthyr,2327,BP,P95,205.9,2026-05-06
1979,BP Stanford Merthyr,"9 Mulbring Street, Stanford Merthyr NSW 2327",Stanford Merthyr,2327,BP,U91,195.9,2026-05-06
1981,BP Bexley,"610 Forest Road, Bexley NSW 2207",Bexley,2207,BP,E10,174.9,2026-05-06
1981,BP Bexley,"610 Forest Road, Bexley NSW 2207",Bexley,2207,BP,P95,199.9,2026-05-06
1981,BP Bexley,"610 Forest Road, Bexley NSW 2207",Bexley,2207,BP,P98,209.9,2026-05-06
1981,BP Bexley,"610 Forest Road, Bexley NSW 2207",Bexley,2207,BP,PDL,245.9,2026-05-06
1983,Silvalite Fuel Stop,"210 Ashmont Avenue, Ashmont NSW 2650",Ashmont,2650,Liberty,DL,243.9,2026-05-06
