station_code,name,address,suburb,postcode,brand,fuel_code,price,date
2051,United Petroleum Wilberforce,"539 Wilberforce Rd, WILBERFORCE NSW 2756",Wilberforce,2756,United,E10,174.5,2026-05-06
2051,United Petroleum Wilberforce,"539 Wilberforce Rd, WILBERFORCE NSW 2756",Wilberforce,2756,United,P95,190.5,2026-05-06
2051,United Petroleum Wilberforce,"539 Wilberforce Rd, WILBERFORCE NSW 2756",Wilberforce,2756,United,P98,199.5,2026-05-06
2051,United Petroleum Wilberforce,"539 Wilberforce Rd, WILBERFORCE NSW 2756",Wilberforce,2756,United,U91,176.5,2026-05-06
2056,Independent Mooball,"5885 Tweed ValleyWay, Mooball NSW 2483",Mooball,2483,Independent,DL,253.9,2026-05-06
2056,Independent Mooball,"5885 Tweed ValleyWay, Mooball NSW 2483",Mooball,2483,Independent,P98,223.9,2026-05-06
2056,Independent Mooball,"5885 Tweed ValleyWay, Mooball NSW 2483",Mooball,2483,Independent,U91,206.9,2026-05-06
2057,Independent Coleambally,"Bencubbin Avenue, Coleambally NSW 2707",Coleambally,2707,Independent,DL,279.9,2026-05-06
2057,Independent Coleambally,"Bencubbin Avenue, Coleambally NSW 2707",Coleambally,2707,Independent,U91,199.0,2026-05-06
2058,Metro Bellbird Heights,"309A WOLLOMBI RD, BELLBIRD HEIGHTS NSW 2325",Bellbird Heights,2325,Metro Fuel,DL,245.9,2026-05-06
2058,Metro Bellbird Heights,"309A WOLLOMBI RD, BELLBIRD HEIGHTS NSW 2325",Bellbird Heights,2325,Metro Fuel,E10,179.9,2026-05-06
2058,Metro Bellbird Heights,"309A WOLLOMBI RD, BELLBIRD HEIGHTS NSW 2325",Bellbird Heights,2325,Metro Fuel,PDL,245.9,2026-05-06
2058,Metro Bellbird Heights,"309A WOLLOMBI RD, BELLBIRD HEIGHTS NSW 2325",Bellbird Heights,2325,Metro Fuel,U91,181.9,2026-05-06
2060,Dowling's General Store,"102 Hooke St, Dungog NSW 2420",Dungog,2420,Independent,DL,319.9,2026-05-06
2060,Dowling's General Store,"102 Hooke St, Dungog NSW 2420",Dungog,2420,Independent,P98,255.9,2026-05-06
2061,Liberty Cullendulla,"11191 Princes Highway, BENANDARAH NSW 2536",Benandarah,2536,Liberty,DL,267.9,2026-05-06
2061,Liberty Cullendulla,"11191 Princes Highway, BENANDARAH NSW 2536",Benandarah,2536,Liberty,LPG,153.9,2026-05-06
2061,Liberty Cullendulla,"11191 Princes Highway, BENANDARAH NSW 2536",Benandarah,2536,Liberty,P98,233.9,2026-05-06
2061,Liberty Cullendulla,"11191 Princes Highway, BENANDARAH NSW 2536",Benandarah,2536,Liberty,PDL,273.9,2026-05-06
2061,Liberty Cullendulla,"11191 Princes Highway, BENANDARAH NSW 2536",Benandarah,2536,Liberty,U91,199.5,2026-05-06
