fold,regime,val_start,val_end,val_rows,run,n_features,seed,ll_all,ll_hard25,fit_s
1,shock,2021-11-05,2022-02-02,47823,R0,54,42,0.381938206002163,1.2497444108017195,2.278002499951981
1,shock,2021-11-05,2022-02-02,47823,R0,54,43,0.3734322792256395,1.1911367126744734,2.176250624936074
1,shock,2021-11-05,2022-02-02,47823,R0,54,44,0.37393971140929066,1.2090997239186336,2.3366569170029834
1,shock,2021-11-05,2022-02-02,47823,R0,54,45,0.3971193969616109,1.3117658184101102,2.044756624964066
1,shock,2021-11-05,2022-02-02,47823,R0,54,46,0.37918236978900777,1.2405017551391235,2.045409999904223
1,shock,2021-11-05,2022-02-02,47823,R1,55,42,0.38579778116707636,1.2583115510704959,2.063879791996442
1,shock,2021-11-05,2022-02-02,47823,R1,55,43,0.3693252550320195,1.1624857896618208,2.1375181670300663
1,shock,2021-11-05,2022-02-02,47823,R1,55,44,0.40014467469991816,1.2806617425833866,2.205601374967955
1,shock,2021-11-05,2022-02-02,47823,R1,55,45,0.443270371394251,1.2753719707777658,2.28067995805759
1,shock,2021-11-05,2022-02-02,47823,R1,55,46,0.4291685078606384,1.3783848198613424,2.1744861669139937
1,shock,2021-11-05,2022-02-02,47823,R2,55,42,0.39044838273344845,1.2397343626345336,2.107241333927959
1,shock,2021-11-05,2022-02-02,47823,R2,55,43,0.3577982323195042,1.1446343904337835,2.117923166952096
1,shock,2021-11-05,2022-02-02,47823,R2,55,44,0.3632046489496936,1.1338016352649591,2.1130852500209585
1,shock,2021-11-05,2022-02-02,47823,R2,55,45,0.3644036711353566,1.166982791832221,2.137958833016455
1,shock,2021-11-05,2022-02-02,47823,R2,55,46,0.3763489171728251,1.2100398931807088,2.168135332991369
1,shock,2021-11-05,2022-02-02,47823,R3,56,42,0.40636815662925246,1.3229490164636006,2.1780567499808967
1,shock,2021-11-05,2022-02-02,47823,R3,56,43,0.39672322205954835,1.3033745007254223,2.2434659999562427
1,shock,2021-11-05,2022-02-02,47823,R3,56,44,0.3762206109348328,1.1963756328705386,2.167689000023529
1,shock,2021-11-05,2022-02-02,47823,R3,56,45,0.3938448898578588,1.2741455705372025,2.162074957974255
1,shock,2021-11-05,2022-02-02,47823,R3,56,46,0.3960928327388144,1.3172023596630562,2.203016999992542
1,shock,2021-11-05,2022-02-02,47823,R4,57,42,0.3972357927451928,1.2810499474628207,2.306511125061661
1,shock,2021-11-05,2022-02-02,47823,R4,57,43,0.37604147501613083,1.20246605564333,2.2300620829919353
1,shock,2021-11-05,2022-02-02,47823,R4,57,44,0.3997115155837907,1.293512428687876,2.276967583107762
