arm,n_windows,own_tau_median,held_tau_median,always_cpl,cpl_own,saving_own_pct,cpl_held,saving_held_pct
baseline,14,0.25,0.25,193.41483516483515,189.79226327944573,1.8729545137021841,189.79226327944573,1.8729545137021841
vel7,14,0.25,0.25,193.41483516483515,189.7528735632184,1.893319919589361,189.7528735632184,1.893319919589361
gap_vel7,14,0.25,0.25,193.41483516483515,189.65635103926098,1.943224325254603,189.65635103926098,1.943224325254603
