fold,regime,val_start,val_end,val_rows,run,n_features,seed,ll_all,ll_hard25,fit_s
1,shock,2021-11-05,2022-02-02,47823,R0,54,42,0.381938206002163,1.2497444108017195,2.2687904170015827
1,shock,2021-11-05,2022-02-02,47823,R0,54,43,0.3734322792256395,1.1911367126744734,2.06034091708716
1,shock,2021-11-05,2022-02-02,47823,R0,54,44,0.37393971140929066,1.2090997239186336,2.0765587909845635
1,shock,2021-11-05,2022-02-02,47823,R0,54,45,0.3971193969616109,1.3117658184101102,2.063746750005521
1,shock,2021-11-05,2022-02-02,47823,R0,54,46,0.37918236978900777,1.2405017551391235,2.0539382089627907
1,shock,2021-11-05,2022-02-02,47823,vel3,55,42,0.372897745613656,1.2129219469302803,2.1424628329696134
1,shock,2021-11-05,2022-02-02,47823,vel3,55,43,0.35686673926053714,1.1162754486824487,2.1041599169839174
1,shock,2021-11-05,2022-02-02,47823,vel3,55,44,0.3690764001613253,1.1433547194416442,2.072159667033702
1,shock,2021-11-05,2022-02-02,47823,vel3,55,45,0.3663979286874261,1.1730646696339786,2.0993449999950826
1,shock,2021-11-05,2022-02-02,47823,vel3,55,46,0.3648302559332884,1.1580761458931417,2.083305624895729
1,shock,2021-11-05,2022-02-02,47823,vel7,55,42,0.39044838273344845,1.2397343626345336,2.0994730830425397
1,shock,2021-11-05,2022-02-02,47823,vel7,55,43,0.3577982323195042,1.1446343904337835,2.115384583012201
1,shock,2021-11-05,2022-02-02,47823,vel7,55,44,0.3632046489496936,1.1338016352649591,2.2070397079223767
1,shock,2021-11-05,2022-02-02,47823,vel7,55,45,0.3644036711353566,1.166982791832221,2.149455292033963
1,shock,2021-11-05,2022-02-02,47823,vel7,55,46,0.3763489171728251,1.2100398931807088,2.168455334031023
1,shock,2021-11-05,2022-02-02,47823,vel14,55,42,0.3792516223647361,1.2224230576637056,2.2518121249740943
1,shock,2021-11-05,2022-02-02,47823,vel14,55,43,0.36675379421324117,1.1628979491998954,2.1399342080112547
1,shock,2021-11-05,2022-02-02,47823,vel14,55,44,0.3594203377254048,1.1487706531170958,2.1458975829882547
1,shock,2021-11-05,2022-02-02,47823,vel14,55,45,0.36539453568771096,1.1514810299834066,2.1501767500303686
1,shock,2021-11-05,2022-02-02,47823,vel14,55,46,0.35737571659506806,1.131023625187987,2.14809558307752
2,normal,2022-02-03,2022-05-03,49966,R0,54,42,0.23622775948973196,0.8314243567901838,2.253159624990076
2,normal,2022-02-03,2022-05-03,49966,R0,54,43,0.23333705437354904,0.7778194098698966,2.1853323340183124
2,normal,2022-02-03,2022-05-03,49966,R0,54,44,0.32072510147429856,1.021012816436641,2.308327000006102
2,normal,2022-02-03,2022-05-03,49966,R0,54,45,0.227489034935059,0.7494874884862118,2.496755125001073
2,normal,2022-02-03,2022-05-03,49966,R0,54,46,0.21364422296608626,0.6903002052940344,2.3631733750225976
2,normal,2022-02-03,2022-05-03,49966,vel3,55,42,0.20928273706725722,0.6861585027835648,2.2892691660672426
2,normal,2022-02-03,2022-05-03,49966,vel3,55,43,0.23514517703367477,0.7721249534384518,2.2742512919940054
2,normal,2022-02-03,2022-05-03,49966,vel3,55,44,0.2185498198751481,0.7110341072945339,2.269522708025761
2,normal,2022-02-03,2022-05-03,49966,vel3,55,45,0.21030552281569592,0.6907390551602792,2.293182083987631
2,normal,2022-02-03,2022-05-03,49966,vel3,55,46,0.2536964292533834,0.8047950398428833,2.3028192919446155
2,normal,2022-02-03,2022-05-03,49966,vel7,55,42,0.2241575273720677,0.7156884229545754,2.423233416979201
2,normal,2022-02-03,2022-05-03,49966,vel7,55,43,0.2124538641776881,0.7007171758499146,2.329493041965179
2,normal,2022-02-03,2022-05-03,49966,vel7,55,44,0.21808552630326883,0.7154732146918008,2.3169427919201553
2,normal,2022-02-03,2022-05-03,49966,vel7,55,45,0.24537678513127092,0.70185814815489,2.354980209027417
2,normal,2022-02-03,2022-05-03,49966,vel7,55,46,0.23714243221336076,0.709939848940856,2.341824291041121
2,normal,2022-02-03,2022-05-03,49966,vel14,55,42,0.2637379789858704,0.8448365852194782,2.3533144590910524
2,normal,2022-02-03,2022-05-03,49966,vel14,55,43,0.23835539543461068,0.7579740266276022,2.3385850829072297
2,normal,2022-02-03,2022-05-03,49966,vel14,55,44,0.222989734850781,0.6993273569267492,2.3510039169341326
2,normal,2022-02-03,2022-05-03,49966,vel14,55,45,0.24099191244455967,0.6974112514967841,2.353022334049456
2,normal,2022-02-03,2022-05-03,49966,vel14,55,46,0.21375828595388288,0.698074897309587,2.3643803329905495
3,normal,2022-05-04,2022-08-01,53719,R0,54,42,0.3533803312359529,1.2773706118308652,2.624983916990459
3,normal,2022-05-04,2022-08-01,53719,R0,54,43,0.37615816225319487,1.3048763351686112,2.46629979100544
3,normal,2022-05-04,2022-08-01,53719,R0,54,44,0.3731435798289138,1.2455186365524689,2.4195021250052378
3,normal,2022-05-04,2022-08-01,53719,R0,54,45,0.398485419401291,1.2464142088930332,2.395047541009262
3,normal,2022-05-04,2022-08-01,53719,R0,54,46,0.34320931001614136,1.1905440713771922,2.3973020419944078
3,normal,2022-05-04,2022-08-01,53719,vel3,55,42,0.33174403590673945,1.1882667725189278,2.4468883329536766
3,normal,2022-05-04,2022-08-01,53719,vel3,55,43,0.3345669886408512,1.1916236254428523,2.4701408330583945
3,normal,2022-05-04,2022-08-01,53719,vel3,55,44,0.3270720295554694,1.151014614197919,2.465156708029099
3,normal,2022-05-04,2022-08-01,53719,vel3,55,45,0.3636150229910189,1.2950368072893252,2.4706704589771107
3,normal,2022-05-04,2022-08-01,53719,vel3,55,46,0.9786987938181843,1.6063352575429455,2.4185043330071494
3,normal,2022-05-04,2022-08-01,53719,vel7,55,42,0.4452234815895215,1.438625674668237,2.449482750031166
3,normal,2022-05-04,2022-08-01,53719,vel7,55,43,0.32891997668491146,1.1456086146539597,2.4436143749626353
3,normal,2022-05-04,2022-08-01,53719,vel7,55,44,0.3301951936975357,1.1489811566836816,2.4584090830758214
3,normal,2022-05-04,2022-08-01,53719,vel7,55,45,0.3274034406325248,1.1508126090654045,2.4332305000862107
3,normal,2022-05-04,2022-08-01,53719,vel7,55,46,0.3010705674797975,1.0077555821187492,2.4326744590653107
3,normal,2022-05-04,2022-08-01,53719,vel14,55,42,0.3365364721521539,1.252531013200813,2.458714458043687
3,normal,2022-05-04,2022-08-01,53719,vel14,55,43,0.3867561830234172,1.234054557025124,2.539203332969919
3,normal,2022-05-04,2022-08-01,53719,vel14,55,44,0.3661530620397833,1.2743825037000727,2.4754106249893084
3,normal,2022-05-04,2022-08-01,53719,vel14,55,45,0.37392427700215525,1.2999187468166318,2.4518177920253947
3,normal,2022-05-04,2022-08-01,53719,vel14,55,46,0.37993628720467215,1.3093054982751828,2.4397159999934956
4,shock,2022-08-02,2022-10-30,58317,R0,54,42,0.41623203325908653,1.2038273358993987,2.70070666691754
4,shock,2022-08-02,2022-10-30,58317,R0,54,43,0.43646647918378106,1.1812018646852247,2.6262578340247273
4,shock,2022-08-02,2022-10-30,58317,R0,54,44,0.46661965494738183,1.2968425871129394,2.563998083001934
4,shock,2022-08-02,2022-10-30,58317,R0,54,45,0.49604476370152173,1.3177893614783684,2.5929277080576867
4,shock,2022-08-02,2022-10-30,58317,R0,54,46,0.4201963973717229,1.1874046673730179,2.5738159170141444
4,shock,2022-08-02,2022-10-30,58317,vel3,55,42,0.4209832344161897,1.1620479941266195,2.586941041983664
4,shock,2022-08-02,2022-10-30,58317,vel3,55,43,0.40716871332627214,1.1216517575938836,2.583166957949288
4,shock,2022-08-02,2022-10-30,58317,vel3,55,44,0.4027707780973775,1.0851913808885656,2.549866541987285
4,shock,2022-08-02,2022-10-30,58317,vel3,55,45,0.42499231760819645,1.1469759272025186,2.5770929170539603
4,shock,2022-08-02,2022-10-30,58317,vel3,55,46,0.4439865918929494,1.2330430249956648,2.577382916933857
4,shock,2022-08-02,2022-10-30,58317,vel7,55,42,0.426707442173289,1.188066814167458,2.579641499905847
4,shock,2022-08-02,2022-10-30,58317,vel7,55,43,0.4273717805735625,1.1867239055734662,2.6310354589950293
4,shock,2022-08-02,2022-10-30,58317,vel7,55,44,0.42328896132487437,1.1331896297883888,2.9163821660913527
4,shock,2022-08-02,2022-10-30,58317,vel7,55,45,0.4395833342622654,1.1573042375378175,2.676303624990396
4,shock,2022-08-02,2022-10-30,58317,vel7,55,46,0.42458859197075244,1.1530310397624624,2.579974625026807
4,shock,2022-08-02,2022-10-30,58317,vel14,55,42,0.45882113200599967,1.2584850667425675,2.6852784589864314
4,shock,2022-08-02,2022-10-30,58317,vel14,55,43,0.5073317398578897,1.4234715678989505,2.6347060840344056
4,shock,2022-08-02,2022-10-30,58317,vel14,55,44,0.43367027970937794,1.2209196562353022,2.598498334060423
4,shock,2022-08-02,2022-10-30,58317,vel14,55,45,0.4537563519152764,1.2239060630211716,2.6151579580036923
4,shock,2022-08-02,2022-10-30,58317,vel14,55,46,0.5001964887617015,1.25316259219249,2.6046279160073027
5,normal,2022-10-31,2023-01-28,57613,R0,54,42,0.2668937509387122,0.8790195073781703,2.7866032499587163
5,normal,2022-10-31,2023-01-28,57613,R0,54,43,0.27052658607718727,0.8746251210414911,2.7699852499645203
5,normal,2022-10-31,2023-01-28,57613,R0,54,44,0.2669644257897569,0.8898489291121784,2.650219041039236
5,normal,2022-10-31,2023-01-28,57613,R0,54,45,0.27021669184814007,0.8791270600789663,2.6459949580021203
5,normal,2022-10-31,2023-01-28,57613,R0,54,46,0.2693615891079595,0.8775164702349181,2.625020832987502
5,normal,2022-10-31,2023-01-28,57613,vel3,55,42,0.2590477626441685,0.8556598440096408,3.3652393330121413
5,normal,2022-10-31,2023-01-28,57613,vel3,55,43,0.25444310187326014,0.8427887620334836,3.3972337909508497
5,normal,2022-10-31,2023-01-28,57613,vel3,55,44,0.2555526293241238,0.8335129218792655,4.104511250043288
5,normal,2022-10-31,2023-01-28,57613,vel3,55,45,0.2565928435426537,0.8266000976084715,3.223284374922514
5,normal,2022-10-31,2023-01-28,57613,vel3,55,46,0.27048004294348066,0.8872841041295428,2.986248792032711
5,normal,2022-10-31,2023-01-28,57613,vel7,55,42,0.2569190581470892,0.8474415228501031,2.87077983294148
5,normal,2022-10-31,2023-01-28,57613,vel7,55,43,0.2598257650849025,0.8562257991090333,2.794245457975194
5,normal,2022-10-31,2023-01-28,57613,vel7,55,44,0.25899348821585233,0.8693693963034544,2.8175076249754056
5,normal,2022-10-31,2023-01-28,57613,vel7,55,45,0.2653104184699992,0.8740160222251648,2.7786883329972625
5,normal,2022-10-31,2023-01-28,57613,vel7,55,46,0.2581799087938364,0.8346269704349983,2.769430457963608
5,normal,2022-10-31,2023-01-28,57613,vel14,55,42,0.26554670415145143,0.8864498142828706,2.7769825420109555
5,normal,2022-10-31,2023-01-28,57613,vel14,55,43,0.27189220189930935,0.8854997413122792,2.7664289999520406
5,normal,2022-10-31,2023-01-28,57613,vel14,55,44,0.2559336807294622,0.8356849082206477,2.99488054192625
5,normal,2022-10-31,2023-01-28,57613,vel14,55,45,0.25824166090068806,0.8394214843807964,2.822030666982755
5,normal,2022-10-31,2023-01-28,57613,vel14,55,46,0.26869984723492013,0.8844993190779766,2.8603702089749277
6,normal,2023-01-29,2023-04-28,57361,R0,54,42,0.22176337598233622,0.7963859029581308,3.1207758330274373
6,normal,2023-01-29,2023-04-28,57361,R0,54,43,0.21926982221723787,0.7918605477974683,2.8524840420577675
6,normal,2023-01-29,2023-04-28,57361,R0,54,44,0.210661146347734,0.7478985216180358,2.928443416953087
6,normal,2023-01-29,2023-04-28,57361,R0,54,45,0.21902773344642792,0.7817451929818079,2.9230787500273436
6,normal,2023-01-29,2023-04-28,57361,R0,54,46,0.2088143657622278,0.7421678440490351,2.856940833036788
6,normal,2023-01-29,2023-04-28,57361,vel3,55,42,0.2088982114896517,0.7533898000998638,2.959795166971162
6,normal,2023-01-29,2023-04-28,57361,vel3,55,43,0.21458687515727545,0.768365479437313,3.022886291029863
6,normal,2023-01-29,2023-04-28,57361,vel3,55,44,0.21460396731164394,0.7542800062741535,3.08543100010138
6,normal,2023-01-29,2023-04-28,57361,vel3,55,45,0.21279930095085361,0.7689165139684885,2.951151833985932
6,normal,2023-01-29,2023-04-28,57361,vel3,55,46,0.21614389784865415,0.7673078040578908,2.9965696670114994
6,normal,2023-01-29,2023-04-28,57361,vel7,55,42,0.21865935807714185,0.7877989033605175,2.9597214580280706
6,normal,2023-01-29,2023-04-28,57361,vel7,55,43,0.21555382700394113,0.7716729252979191,2.9686880419030786
6,normal,2023-01-29,2023-04-28,57361,vel7,55,44,0.21474748282927827,0.7659520762332289,3.092582874931395
6,normal,2023-01-29,2023-04-28,57361,vel7,55,45,0.2135191052167464,0.7713247248466409,3.0436628330498934
6,normal,2023-01-29,2023-04-28,57361,vel7,55,46,0.2204453099779107,0.7813925590156213,2.998513041064143
6,normal,2023-01-29,2023-04-28,57361,vel14,55,42,0.2135910707396515,0.7555429426278405,3.0034495410509408
