fold,regime,run,ll_all_mean,ll_all_median,ll_all_seedstd,ll_hard25_mean,ll_hard25_median,ll_hard25_seedstd,ll_hard10_mean,ll_hard10_median,ll_hard10_seedstd,ll_lated_mean,ll_lated_median,ll_lated_seedstd,ll_all_mean_base,ll_hard25_mean_base,ll_hard10_mean_base,ll_lated_mean_base,ll_all_median_base,ll_hard25_median_base,ll_hard10_median_base,ll_lated_median_base,delta_ll_all_mean,delta_ll_all_median,delta_ll_hard25_mean,delta_ll_hard25_median,delta_ll_hard10_mean,delta_ll_hard10_median,delta_ll_lated_mean,delta_ll_lated_median
1,shock,R0,0.40427942889659907,0.4009560302149539,0.010201926324700518,1.2620248172258217,1.266633065071017,0.05614119051915161,1.8949434593106542,1.8873505341192027,0.06562247105978346,0.5595956552597944,0.5564559898051762,0.019747810928706717,0.40427942889659907,1.2620248172258217,1.8949434593106542,0.5595956552597944,0.4009560302149539,1.266633065071017,1.8873505341192027,0.5564559898051762,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,shock,R1_5c,0.3977701134081434,0.39512899952853564,0.005786464581972199,1.2528924683084175,1.2388074828039386,0.0310196341777064,1.9063879267362878,1.8617611501219742,0.09424504344404126,0.5774248911989612,0.5634703493107268,0.03169075812524192,0.40427942889659907,1.2620248172258217,1.8949434593106542,0.5595956552597944,0.4009560302149539,1.266633065071017,1.8873505341192027,0.5564559898051762,-0.00650931548845568,-0.005827030686418266,-0.00913234891740422,-0.02782558226707832,0.011444467425633542,-0.025589383997228543,0.017829235939166854,0.007014359505550627
1,shock,R2_10c,0.40083211295531684,0.3947936298432438,0.013679009269166546,1.275964710537185,1.2552340872117351,0.05570900476120862,1.9434788043384086,1.9010519888399775,0.10221569725082567,0.5699031813801294,0.5717130100264313,0.016622780598156927,0.40427942889659907,1.2620248172258217,1.8949434593106542,0.5595956552597944,0.4009560302149539,1.266633065071017,1.8873505341192027,0.5564559898051762,-0.003447315941282225,-0.0061624003717101195,0.01393989331136325,-0.01139897785928179,0.04853534502775436,0.013701454720774775,0.010307526120335031,0.01525702022125508
2,normal,R0,0.24961356427869458,0.25281262939570626,0.015327459950761058,0.8275711122158811,0.8245595578862388,0.06381447993294496,1.4066045446674527,1.3804428589144042,0.12769035516514582,0.06219952700148725,0.05085519589984759,0.028038290818272766,0.24961356427869458,0.8275711122158811,1.4066045446674527,0.06219952700148725,0.25281262939570626,0.8245595578862388,1.3804428589144042,0.05085519589984759,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,normal,R1_5c,0.2634480347104474,0.2462814460749266,0.039249360877682396,0.8721327731390291,0.8378806541161739,0.08968559892967977,1.4556109368309336,1.431732725671274,0.09639550552139933,0.046637430137593805,0.049965207533418175,0.012278948558296258,0.24961356427869458,0.8275711122158811,1.4066045446674527,0.06219952700148725,0.25281262939570626,0.8245595578862388,1.3804428589144042,0.05085519589984759,0.013834470431752843,-0.006531183320779649,0.04456166092314806,0.013321096229935048,0.049006392163480905,0.05128986675686975,-0.015562096863893447,-0.0008899883664294159
2,normal,R2_10c,0.2511457044773674,0.24511096190761153,0.01693726865291915,0.8068607133449021,0.793282235115505,0.031201297687343834,1.33754154714845,1.332615915237115,0.02784410632517287,0.06527466309685921,0.0566085447078652,0.032772105561451916,0.24961356427869458,0.8275711122158811,1.4066045446674527,0.06219952700148725,0.25281262939570626,0.8245595578862388,1.3804428589144042,0.05085519589984759,0.0015321401986728156,-0.007701667488094727,-0.02071039887097903,-0.031277322770733806,-0.06906299751900269,-0.047826943677289124,0.0030751360953719595,0.0057533488080176096
3,normal,R0,0.39667663782638296,0.38883575370353934,0.026867392596178107,1.4017624248862965,1.3776942447170277,0.09662545456766783,2.213539979922428,2.165629404574725,0.11108042280470432,1.168564379891331,1.1789863319464906,0.11726112137758014,0.39667663782638296,1.4017624248862965,2.213539979922428,1.168564379891331,0.38883575370353934,1.3776942447170277,2.165629404574725,1.1789863319464906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,normal,R1_5c,0.3479067118468854,0.3435807823436918,0.015165164491918274,1.1896153326334504,1.164594629802403,0.06650179569787623,1.878478852091586,1.8399751549048844,0.11817906839144456,0.9272591442645854,0.9074744616155492,0.10256497342958347,0.39667663782638296,1.4017624248862965,2.213539979922428,1.168564379891331,0.38883575370353934,1.3776942447170277,2.165629404574725,1.1789863319464906,-0.048769925979497586,-0.04525497135984752,-0.21214709225284611,-0.2130996149146247,-0.33506112783084196,-0.32565424966984047,-0.24130523562674555,-0.2715118703309414
3,normal,R2_10c,0.3412843553231926,0.3279911422143574,0.03592903599189683,1.114601020911988,1.1092718023987727,0.03665700457913073,1.795417864296957,1.8064881049203039,0.030565020956419327,0.8285765854293168,0.8511719768721486,0.04350093128396429,0.39667663782638296,1.4017624248862965,2.213539979922428,1.168564379891331,0.38883575370353934,1.3776942447170277,2.165629404574725,1.1789863319464906,-0.05539228250319034,-0.060844611489181966,-0.28716140397430845,-0.2684224423182551,-0.4181221156254711,-0.359141299654421,-0.3399877944620142,-0.327814355074342
4,shock,R0,0.41818946291336057,0.41704622001300534,0.01549663852707652,1.2290236322231496,1.2048379147995767,0.055004815631380384,1.9041758745035495,1.8554613421775028,0.11559567527603948,0.5656278509539818,0.5634905473070987,0.009293718693863987,0.41818946291336057,1.2290236322231496,1.9041758745035495,0.5656278509539818,0.41704622001300534,1.2048379147995767,1.8554613421775028,0.5634905473070987,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,shock,R1_5c,0.4253550880360722,0.42502785468694476,0.016598573415103866,1.1723387751286949,1.1475879881145903,0.05661767536157908,1.7436606685730784,1.6796098101756676,0.11764090163219348,0.5937943931668845,0.5921969129207028,0.023411086228566733,0.41818946291336057,1.2290236322231496,1.9041758745035495,0.5656278509539818,0.41704622001300534,1.2048379147995767,1.8554613421775028,0.5634905473070987,0.0071656251227116274,0.00798163467393942,-0.0566848570944547,-0.05724992668498641,-0.16051520593047108,-0.17585153200183523,0.028166542212902712,0.028706365613604068
4,shock,R2_10c,0.4411168444140331,0.4226876848781197,0.041217617915841595,1.135462562884073,1.114232729754322,0.04990682711134399,1.6684869085710854,1.6288644498780163,0.09799284211713068,0.569113941559245,0.5703054502228441,0.015486052486075675,0.41818946291336057,1.2290236322231496,1.9041758745035495,0.5656278509539818,0.41704622001300534,1.2048379147995767,1.8554613421775028,0.5634905473070987,0.022927381500672528,0.005641464865114354,-0.09356106933907649,-0.09060518504525472,-0.23568896593246413,-0.22659689229948654,0.00348609060526317,0.00681490291574538
5,normal,R0,0.2942763572817181,0.2939803554108413,0.014991403409081058,0.9589648461209046,0.9610546834347568,0.04978394237886299,1.5127529242651832,1.5225604862105029,0.11356095437436331,0.5319467368920502,0.5357285134518485,0.019050138858444688,0.2942763572817181,0.9589648461209046,1.5127529242651832,0.5319467368920502,0.2939803554108413,0.9610546834347568,1.5225604862105029,0.5357285134518485,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,normal,R1_5c,0.2668120808236508,0.259544118199549,0.016309822879363296,0.8281441135364475,0.8186696014683859,0.04230185545894758,1.223187865042788,1.219501687962439,0.0778913729295451,0.48778163778084827,0.4889048545284775,0.015146583221978175,0.2942763572817181,0.9589648461209046,1.5127529242651832,0.5319467368920502,0.2939803554108413,0.9610546834347568,1.5225604862105029,0.5357285134518485,-0.02746427645806726,-0.0344362372112923,-0.13082073258445714,-0.1423850819663709,-0.28956505922239506,-0.3030587982480639,-0.04416509911120192,-0.04682365892337098
5,normal,R2_10c,0.26794704190951957,0.2615008498095743,0.015196849397273766,0.8082623153286678,0.8072402559456155,0.019996215600821918,1.147340906890027,1.1335480590720153,0.031084321232710908,0.5073037845931728,0.4969647039419856,0.021536567413058278,0.2942763572817181,0.9589648461209046,1.5127529242651832,0.5319467368920502,0.2939803554108413,0.9610546834347568,1.5225604862105029,0.5357285134518485,-0.026329315372198514,-0.032479505601267,-0.15070253079223683,-0.1538144274891412,-0.36541201737515605,-0.3890124271384876,-0.024642952298877363,-0.03876380950986286
6,normal,R0,0.21752886300660818,0.21814575196132616,0.0025322341650439698,0.7684644346065947,0.7681255186952684,0.008175161791935477,1.2915927105234166,1.2973647003132562,0.03766012112880381,0.3328354135921206,0.3296307191013519,0.0070902680492734675,0.21752886300660818,0.7684644346065947,1.2915927105234166,0.3328354135921206,0.21814575196132616,0.7681255186952684,1.2973647003132562,0.3296307191013519,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,normal,R1_5c,0.22192542105838134,0.2192744244616781,0.010707872666113305,0.7587362762802934,0.7596552012729424,0.010647287453307973,1.2580582146845753,1.2558026771942346,0.014525274723968369,0.32655259693565086,0.3257334796383808,0.007368400098490152,0.21752886300660818,0.7684644346065947,1.2915927105234166,0.3328354135921206,0.21814575196132616,0.7681255186952684,1.2973647003132562,0.3296307191013519,0.004396558051773164,0.0011286725003519515,-0.009728158326301362,-0.008470317422325957,-0.03353449583884127,-0.041562023119021685,-0.006282816656469736,-0.0038972394629711027
6,normal,R2_10c,0.21765246631147503,0.21731009309262964,0.003782185825859895,0.7536043553908311,0.7568856088959895,0.007529554725784974,1.2263099164633224,1.228829085041255,0.01159103243131276,0.32442576169967074,0.3218160972359248,0.009109879259550811,0.21752886300660818,0.7684644346065947,1.2915927105234166,0.3328354135921206,0.21814575196132616,0.7681255186952684,1.2973647003132562,0.3296307191013519,0.0001236033048668539,-0.0008356588686965205,-0.0148600792157636,-0.011239909799278802,-0.06528279406009418,-0.06853561527200114,-0.008409651892449854,-0.007814621865427085
