fold,regime,val_start,val_end,val_rows,n_lated,run,n_features,seed,ll_all,ll_hard25,ll_hard10,ll_lated,fit_s
1,shock,2021-11-05,2022-02-02,47823,4273,R0,50,42,0.40190510003360563,1.2807329665436873,1.9456492773217113,0.552950242365369,2.0692762499966193
1,shock,2021-11-05,2022-02-02,47823,4273,R0,50,43,0.39679777027672636,1.2542692480737039,1.8873505341192027,0.5564559898051762,1.9399166249786504
1,shock,2021-11-05,2022-02-02,47823,4273,R0,50,44,0.4222007472164518,1.3318810046254286,1.965136253618526,0.5897538252136512,1.9083289169939235
1,shock,2021-11-05,2022-02-02,47823,4273,R0,50,45,0.4009560302149539,1.266633065071017,1.8786042895957045,0.5633525396032432,1.9164242080005351
1,shock,2021-11-05,2022-02-02,47823,4273,R0,50,46,0.39953749674125766,1.1766078018152717,1.797976941898127,0.5354656793115321,1.9222735000075772
1,shock,2021-11-05,2022-02-02,47823,4273,R1_5c,52,42,0.39512899952853564,1.2350863349760686,1.8442513095566344,0.5634703493107268,2.0558317500108387
1,shock,2021-11-05,2022-02-02,47823,4273,R1_5c,52,43,0.3931558839117755,1.2388074828039386,1.8617611501219742,0.5581237935050282,2.0127916669880506
1,shock,2021-11-05,2022-02-02,47823,4273,R1_5c,52,44,0.40044274872045,1.2828786006743413,1.9779406594288629,0.5686222021880236,1.9852131670049857
1,shock,2021-11-05,2022-02-02,47823,4273,R1_5c,52,45,0.40669556522914524,1.2887193288941903,2.0333923331198918,0.6337245541797047,1.9885999170073774
1,shock,2021-11-05,2022-02-02,47823,4273,R1_5c,52,46,0.39342736965081054,1.218970594193548,1.8145941814540762,0.563183556811323,2.0000126250088215
1,shock,2021-11-05,2022-02-02,47823,4273,R2_10c,52,42,0.3865077269886884,1.2131795248563164,1.8338342251460122,0.5717130100264313,2.0190325409930665
1,shock,2021-11-05,2022-02-02,47823,4273,R2_10c,52,43,0.3947936298432438,1.2552340872117351,1.8946634949457621,0.5523922377721111,1.9918467919924296
1,shock,2021-11-05,2022-02-02,47823,4273,R2_10c,52,44,0.3938322417301096,1.24668833377322,1.9010519888399775,0.5560050990849014,2.003005332982866
1,shock,2021-11-05,2022-02-02,47823,4273,R2_10c,52,45,0.42097304544108993,1.352659691811226,2.0959296475156246,0.5756433710082036,2.017866167007014
1,shock,2021-11-05,2022-02-02,47823,4273,R2_10c,52,46,0.4080539207734528,1.312061915033427,1.991914665244666,0.5937621890089998,2.0084652910009027
2,normal,2022-02-03,2022-05-03,49966,1720,R0,50,42,0.26870690859987884,0.9293979658312981,1.6195925715268615,0.03985018816810857,2.144626082998002
2,normal,2022-02-03,2022-05-03,49966,1720,R0,50,43,0.25281262939570626,0.8245595578862388,1.3804428589144042,0.10044643163373618,2.0004019170009997
2,normal,2022-02-03,2022-05-03,49966,1720,R0,50,44,0.2308532546117474,0.7552216580545412,1.2811867842809708,0.05085519589984759,2.0087301669991575
2,normal,2022-02-03,2022-05-03,49966,1720,R0,50,45,0.25801479564180574,0.8271192268422858,1.3480089267259614,0.08276152308008095,2.008872207981767
2,normal,2022-02-03,2022-05-03,49966,1720,R0,50,46,0.2376802331443347,0.8015571524650413,1.403791581889065,0.03708429622566296,2.011764666007366
2,normal,2022-02-03,2022-05-03,49966,1720,R1_5c,52,42,0.25571195171764494,0.8549817115288991,1.4421071697932393,0.03668611445162329,2.1302358750253916
2,normal,2022-02-03,2022-05-03,49966,1720,R1_5c,52,43,0.2462814460749266,0.8378806541161739,1.431732725671274,0.049965207533418175,2.1170951669919305
2,normal,2022-02-03,2022-05-03,49966,1720,R1_5c,52,44,0.3327922436442934,1.0296091801259601,1.6190070362264433,0.056971355970248126,2.1255482920096256
2,normal,2022-02-03,2022-05-03,49966,1720,R1_5c,52,45,0.2436111851076431,0.8309721150291223,1.4224182064957727,0.05855383782620161,2.1243919170228764
2,normal,2022-02-03,2022-05-03,49966,1720,R1_5c,52,46,0.23884334700772905,0.8072202048949901,1.3627895459679384,0.031010634906477826,2.138020582991885
2,normal,2022-02-03,2022-05-03,49966,1720,R2_10c,52,42,0.23348165977976668,0.7808066063456118,1.332615915237115,0.04014846090034538,2.1299867920170072
2,normal,2022-02-03,2022-05-03,49966,1720,R2_10c,52,43,0.2702795934703297,0.859776664979183,1.381408095722145,0.07131100527358383,2.146602291992167
2,normal,2022-02-03,2022-05-03,49966,1720,R2_10c,52,44,0.2679629881268626,0.8086620893639194,1.3040083643789406,0.11895203276993846,2.143876249989262
2,normal,2022-02-03,2022-05-03,49966,1720,R2_10c,52,45,0.2388933191022664,0.791775970920291,1.3374400786260323,0.0566085447078652,2.1474818749993574
2,normal,2022-02-03,2022-05-03,49966,1720,R2_10c,52,46,0.24511096190761153,0.793282235115505,1.332235281778017,0.03935327183256319,2.1501906250196043
3,normal,2022-05-04,2022-08-01,53719,8321,R0,50,42,0.37661102227567017,1.3359997152105543,2.165629404574725,1.0794646495099927,2.259354458976304
3,normal,2022-05-04,2022-08-01,53719,8321,R0,50,43,0.4287039832168082,1.5136805557384565,2.339205650800245,1.2946923556182182,2.161362499988172
3,normal,2022-05-04,2022-08-01,53719,8321,R0,50,44,0.42097031532200246,1.4898961996902778,2.323023876682077,1.2671488810402889,2.1968114170012996
3,normal,2022-05-04,2022-08-01,53719,8321,R0,50,45,0.38883575370353934,1.3776942447170277,2.1495195841696813,1.1789863319464906,2.180462082993472
3,normal,2022-05-04,2022-08-01,53719,8321,R0,50,46,0.3682621146138947,1.2915414090751667,2.090321383385412,1.0225296813416644,2.179766290995758
3,normal,2022-05-04,2022-08-01,53719,8321,R1_5c,52,42,0.3435807823436918,1.2023935828801469,1.9460529144024443,0.943457664772562,2.3391423750144895
3,normal,2022-05-04,2022-08-01,53719,8321,R1_5c,52,43,0.335217100245272,1.1430757368713942,1.8399751549048844,0.8271935632836418,2.4363872919930145
