zone_a,zone_b,diff,ci_lo,ci_hi,separated,p_a_worse
12-16c,8-12c,2.2334415584415694,-0.6833879867981189,7.431634296933493,False,0.9
12-16c,<8c,2.0452272727272884,-0.8613243814542627,7.461519009470122,False,0.865
12-16c,>=16c,-0.29068736141906015,-4.609442864194619,5.673075540413529,False,0.4315
8-12c,<8c,-0.188214285714281,-1.3058260769081662,1.2255135807524888,False,0.3945
8-12c,>=16c,-2.5241289198606296,-5.37742429508812,-0.169734641396205,True,0.01425
<8c,>=16c,-2.3359146341463486,-5.717980274442544,0.32421915839184423,False,0.0525
