zone_a,zone_b,diff,ci_lo,ci_hi,separated,p_a_worse
late_descent,normal,-0.6083475905332136,-2.8973646828389525,1.5934552598465248,False,0.2905
late_descent,overdue,0.2871327254305811,-1.511529421002381,1.8445211865500362,False,0.58475
normal,overdue,0.8954803159637947,-0.9864730290591766,2.9382604054068975,False,0.7915
