zone,headroom_cpl,ci_lo,ci_hi,ci_width,boot_std,crosses_zero
late_descent,1.4940476190476204,-0.2072261227997174,3.100931915399237,3.3081580381989544,0.8435828392950931,True
normal,2.102395209580834,1.0641555376776601,3.2221945945945927,2.1580390569169325,0.5663730350206425,False
overdue,1.2069148936170393,-0.14571949724096173,2.4950975285417702,2.640817025782732,0.6739792549454975,True
