purchased_litres,purchased_spend,attributed_litres,attributed_spend,leftover_litres,leftover_spend,prior_burned,burned_total,fold,station_code,arm
325.0,54905.0,275.0,47270.0,50.0,7635.0,0.0,275.0,2,261,oracle
300.0,54020.0,275.0,49322.5,25.0,4697.5,0.0,275.0,2,414,oracle
300.0,52547.5,250.0,44427.5,50.0,8120.0,25.0,275.0,2,429,oracle
300.0,52657.5,250.0,44487.5,50.0,8170.0,0.0,250.0,2,585,oracle
300.0,53840.0,275.0,49147.5,25.0,4692.5,0.0,275.0,2,18517,oracle
325.0,60075.0,275.0,51180.0,50.0,8895.0,0.0,275.0,3,261,oracle
325.0,64767.5,275.0,55272.5,50.0,9495.0,25.0,300.0,3,414,oracle
325.0,63157.5,275.0,53762.5,50.0,9395.0,0.0,275.0,3,429,oracle
325.0,63697.5,275.0,54302.5,50.0,9395.0,0.0,275.0,3,585,oracle
325.0,64532.5,275.0,55047.5,50.0,9485.0,0.0,275.0,3,18517,oracle
300.0,49367.5,250.0,40947.5,50.0,8420.0,0.0,250.0,4,261,oracle
300.0,55220.0,250.0,45925.0,50.0,9295.0,0.0,250.0,4,414,oracle
300.0,51250.0,250.0,42825.0,50.0,8425.0,0.0,250.0,4,429,oracle
325.0,56427.5,275.0,47992.5,50.0,8435.0,0.0,275.0,4,585,oracle
300.0,52670.0,250.0,43875.0,50.0,8795.0,0.0,250.0,4,18517,oracle
325.0,58337.5,275.0,50267.5,50.0,8070.0,0.0,275.0,5,261,oracle
325.0,60417.5,275.0,51122.5,50.0,9295.0,25.0,300.0,5,414,oracle
325.0,61212.5,275.0,52767.5,50.0,8445.0,0.0,275.0,5,429,oracle
325.0,61162.5,275.0,52692.5,50.0,8470.0,25.0,300.0,5,585,oracle
325.0,62292.5,275.0,53297.5,50.0,8995.0,0.0,275.0,5,18517,oracle
325.0,60407.5,275.0,51422.5,50.0,8985.0,25.0,300.0,6,261,oracle
325.0,60417.5,275.0,51122.5,50.0,9295.0,25.0,300.0,6,414,oracle
325.0,61397.5,275.0,52072.5,50.0,9325.0,25.0,300.0,6,429,oracle
325.0,62565.0,275.0,53240.0,50.0,9325.0,25.0,300.0,6,585,oracle
325.0,63867.5,275.0,54072.5,50.0,9795.0,25.0,300.0,6,18517,oracle
300.0,52205.0,275.0,47457.5,25.0,4747.5,0.0,275.0,7,261,oracle
300.0,51270.0,250.0,42975.0,50.0,8295.0,25.0,275.0,7,414,oracle
300.0,53300.0,275.0,48452.5,25.0,4847.5,0.0,275.0,7,429,oracle
300.0,54555.0,275.0,49707.5,25.0,4847.5,0.0,275.0,7,585,oracle
300.0,55745.0,275.0,50847.5,25.0,4897.5,0.0,275.0,7,18517,oracle
325.0,61547.5,275.0,52612.5,50.0,8935.0,0.0,275.0,8,261,oracle
325.0,65642.5,275.0,56047.5,50.0,9595.0,0.0,275.0,8,414,oracle
325.0,64192.5,275.0,54597.5,50.0,9595.0,0.0,275.0,8,429,oracle
325.0,66217.5,275.0,56372.5,50.0,9845.0,25.0,300.0,8,585,oracle
325.0,66192.5,275.0,56397.5,50.0,9795.0,0.0,275.0,8,18517,oracle
325.0,60382.5,275.0,51987.5,50.0,8395.0,25.0,300.0,9,261,oracle
325.0,66167.5,275.0,57072.5,50.0,9095.0,25.0,300.0,9,414,oracle
325.0,64092.5,275.0,54697.5,50.0,9395.0,25.0,300.0,9,429,oracle
325.0,64992.5,275.0,55747.5,50.0,9245.0,25.0,300.0,9,585,oracle
325.0,67042.5,275.0,57847.5,50.0,9195.0,25.0,300.0,9,18517,oracle
