station_code,name,address,suburb,postcode,brand,price,date
20182,BP Kingsford,"368 ANZAC PDE, KINGSFORD NSW 2032",KINGSFORD,2032,BP,181.7,2026-04-26
20185,PEARL LITHGOW,"1106 GREAT WESTERN HWY, BOWENFELS NSW 2790",BOWENFELS,2790,Pearl Energy,186.9,2026-04-26
20186,BP West Pymble,"45 YANKO RD, WEST PYMBLE NSW 2073",WEST PYMBLE,2073,BP,181.9,2026-04-26
20187,Metro Petroleum Kahibah,"93A WALLSEND ST, KAHIBAH NSW 2290",KAHIBAH,2290,Metro Fuel,179.7,2026-04-26
20188,PEARL ENERGY BUNGENDORE,"42 MALBON ST, BUNGENDORE NSW 2621",BUNGENDORE,2621,Pearl Energy,181.5,2026-04-26
20193,Caltex East Gosford,"42 VICTORIA ST, EAST GOSFORD NSW 2250",EAST GOSFORD,2250,Caltex,183.9,2026-04-26
20194,BP Woodpark Road,"186 WOODPARK RD, SMITHFIELD NSW 2164",SMITHFIELD,2164,BP,193.9,2026-04-26
20196,Metro Petroleum Tempe,"531 PRINCES HWY, TEMPE NSW 2044",TEMPE,2044,Metro Fuel,175.9,2026-04-26
20197,Metro Salamander Bay,"12 RANDALL DR, SALAMANDER BAY NSW 2317",SALAMANDER BAY,2317,Metro Fuel,181.5,2026-04-26
20198,Access Fuels Tea Gardens,"1 MYALL QUAYS BVD, TEA GARDENS NSW 2324",TEA GARDENS,2324,Caltex,197.5,2026-04-26
20200,Metro Mount Pritchard,"472 CABRAMATTA RD WEST, MOUNT PRITCHARD NSW 2170",MOUNT PRITCHARD,2170,Metro Fuel,179.9,2026-04-26
20201,BP Willoughby,"316 PENSHURST ST, NORTH WILLOUGHBY NSW 2068",NORTH WILLOUGHBY,2068,BP,181.9,2026-04-26
20202,BP Batemans Bay,"85-87 PRINCES HWY, BATEMANS BAY NSW 2536",BATEMANS BAY,2536,BP,180.9,2026-04-26
20206,Metro Petroleum CESSNOCK,"105 WOLLOMBI RD, CESSNOCK NSW 2325",CESSNOCK,2325,Metro Fuel,181.5,2026-04-26
20207,Astron Yagoona,"45 ROOKWOOD RD, YAGOONA NSW 2199",YAGOONA,2199,ASTRON,174.9,2026-04-26
20208,Budget Auburn,"98 PARK RD, AUBURN NSW 2144",AUBURN,2144,Budget,176.5,2026-04-26
20211,Caltex Heddon Greta,195 Main Rd Heddon Greta NSW 2321,,2321,Caltex,199.5,2026-04-26
20216,Shell Berry,"88 QUEEN ST, BERRY NSW 2535",BERRY,2535,Shell,197.9,2026-04-26
20224,Mobil Glen Innes,144 Meade St Glenn Innes NSW 2370,,2370,Mobil,185.5,2026-04-26
20227,ACCESS FUELS RUTHERFORD,"174 NEW ENGLAND HWY, RUTHERFORD NSW 2320",RUTHERFORD,2320,Independent,181.5,2026-04-26
20228,METCO Albury,"624 YOUNG ST, ALBURY NSW 2640",ALBURY,2640,Independent,181.5,2026-04-26
20229,Westside Toukley,"356 MAIN RD, TOUKLEY NSW 2263",TOUKLEY,2263,Westside,186.9,2026-04-26
20230,BP TONGARRA,"164 TONGARRA RD, ALBION PARK NSW 2527",ALBION PARK,2527,BP,189.9,2026-04-26
20231,Metco Petroleum,"126 WINDSOR RD, MCGRATHS HILL NSW 2756",MCGRATHS HILL,2756,Independent,174.5,2026-04-26
20232,Metro Petroleum (Bankstown South),160 South Terrace Bankstown NSW 2200,,2200,Metro Fuel,175.9,2026-04-26
20233,ACCESS FUELS THORNTON,"2 WEAKLEYS DR, THORNTON NSW 2322",THORNTON,2322,Caltex,182.5,2026-04-26
20235,CALTEX MURWILLUMBAH,"182 TWEED VALLEY WAY, SOUTH MURWILLUMBAH NSW 2484",SOUTH MURWILLUMBAH,2484,Caltex,176.5,2026-04-26
20236,Liberty Gurley,"41 GURLEY ST, GURLEY NSW 2398",GURLEY,2398,Liberty,175.5,2026-04-26
20238,Metro Petroleum Cowra,"1 MULYAN ST, COWRA NSW 2794",COWRA,2794,Metro Fuel,203.5,2026-04-26
20239,BP WALLSEND,"103 NEWCASTLE RD, WALLSEND NSW 2287",WALLSEND,2287,BP,176.5,2026-04-26
