fold,regime,run,ll_all_mean,ll_all_median,ll_all_seedstd,ll_hard25_mean,ll_hard25_median,ll_hard25_seedstd,ll_hard10_mean,ll_hard10_median,ll_hard10_seedstd,ll_lated_mean,ll_lated_median,ll_lated_seedstd,ll_all_mean_base,ll_hard25_mean_base,ll_hard10_mean_base,ll_lated_mean_base,ll_all_median_base,ll_hard25_median_base,ll_hard10_median_base,ll_lated_median_base,delta_ll_all_mean,delta_ll_all_median,delta_ll_hard25_mean,delta_ll_hard25_median,delta_ll_hard10_mean,delta_ll_hard10_median,delta_ll_lated_mean,delta_ll_lated_median
1,shock,R0,0.40427942889659907,0.4009560302149539,0.010201926324700518,1.2620248172258217,1.266633065071017,0.05614119051915161,1.8949434593106542,1.8873505341192027,0.06562247105978346,0.5595956552597944,0.5564559898051762,0.019747810928706717,0.40427942889659907,1.2620248172258217,1.8949434593106542,0.5595956552597944,0.4009560302149539,1.266633065071017,1.8873505341192027,0.5564559898051762,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,shock,RAC_full,0.38681191265426784,0.3888525630452913,0.007653001798717793,1.2099910044555158,1.2113714957818413,0.030631521092947603,1.822813464576214,1.8022097831262147,0.049291741746108016,0.5451347261887503,0.540200900613837,0.009495155929623402,0.40427942889659907,1.2620248172258217,1.8949434593106542,0.5595956552597944,0.4009560302149539,1.266633065071017,1.8873505341192027,0.5564559898051762,-0.017467516242331227,-0.012103467169662596,-0.05203381277030594,-0.05526156928917558,-0.07212999473444026,-0.08514075099298801,-0.014460929071044126,-0.016255089191339223
1,shock,RA_both,0.3977701134081434,0.39512899952853564,0.005786464581972199,1.2528924683084175,1.2388074828039386,0.0310196341777064,1.9063879267362878,1.8617611501219742,0.09424504344404126,0.5774248911989612,0.5634703493107268,0.03169075812524192,0.40427942889659907,1.2620248172258217,1.8949434593106542,0.5595956552597944,0.4009560302149539,1.266633065071017,1.8873505341192027,0.5564559898051762,-0.00650931548845568,-0.005827030686418266,-0.00913234891740422,-0.02782558226707832,0.011444467425633542,-0.025589383997228543,0.017829235939166854,0.007014359505550627
1,shock,RA_delta,0.3945994106056555,0.3953806478538454,0.011033982374604203,1.2283164357897245,1.2152362726831587,0.04429389930933316,1.8341264298747935,1.8074512547460146,0.04999421867876319,0.5686312607652605,0.5668382885917874,0.009502666193979284,0.40427942889659907,1.2620248172258217,1.8949434593106542,0.5595956552597944,0.4009560302149539,1.266633065071017,1.8873505341192027,0.5564559898051762,-0.00968001829094356,-0.005575382361108494,-0.03370838143609722,-0.051396792387858214,-0.06081702943586076,-0.07989927937318808,0.009035605505466116,0.010382298786611233
1,shock,RA_level,0.39130875195442527,0.3938801289807444,0.010231146783508853,1.2141954686482783,1.2165559937270847,0.0370510969006832,1.8032444633541185,1.7865479325144435,0.03867874377961832,0.5494827942893077,0.5545635885664891,0.014104893766688506,0.40427942889659907,1.2620248172258217,1.8949434593106542,0.5595956552597944,0.4009560302149539,1.266633065071017,1.8873505341192027,0.5564559898051762,-0.012970676942173798,-0.007075901234209481,-0.047829348577543396,-0.050077071343932245,-0.09169899595653574,-0.10080260160475918,-0.010112860970486692,-0.0018924012386870581
2,normal,R0,0.24961356427869458,0.25281262939570626,0.015327459950761058,0.8275711122158811,0.8245595578862388,0.06381447993294496,1.4066045446674527,1.3804428589144042,0.12769035516514582,0.06219952700148725,0.05085519589984759,0.028038290818272766,0.24961356427869458,0.8275711122158811,1.4066045446674527,0.06219952700148725,0.25281262939570626,0.8245595578862388,1.3804428589144042,0.05085519589984759,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,normal,RAC_full,0.24608690379887305,0.24484511523237884,0.012959904277756212,0.8056208367037703,0.7927262571971035,0.03184239841236964,1.351904235384006,1.3461926251817657,0.04670279943776164,0.03986771356037386,0.037890375544544885,0.011154379513866377,0.24961356427869458,0.8275711122158811,1.4066045446674527,0.06219952700148725,0.25281262939570626,0.8245595578862388,1.3804428589144042,0.05085519589984759,-0.0035266604798215306,-0.007967514163327416,-0.021950275512110817,-0.03183330068913526,-0.0547003092834466,-0.03425023373263847,-0.022331813441113395,-0.012964820355302706
2,normal,RA_both,0.2634480347104474,0.2462814460749266,0.039249360877682396,0.8721327731390291,0.8378806541161739,0.08968559892967977,1.4556109368309336,1.431732725671274,0.09639550552139933,0.046637430137593805,0.049965207533418175,0.012278948558296258,0.24961356427869458,0.8275711122158811,1.4066045446674527,0.06219952700148725,0.25281262939570626,0.8245595578862388,1.3804428589144042,0.05085519589984759,0.013834470431752843,-0.006531183320779649,0.04456166092314806,0.013321096229935048,0.049006392163480905,0.05128986675686975,-0.015562096863893447,-0.0008899883664294159
2,normal,RA_delta,0.25926750990951947,0.26005002611290423,0.01410513256924643,0.8791173059425166,0.8809285462464573,0.03873016384600893,1.5022751713964624,1.5117763959085342,0.048122539893693465,0.04670743955011149,0.046500314577119596,0.013128453012249151,0.24961356427869458,0.8275711122158811,1.4066045446674527,0.06219952700148725,0.25281262939570626,0.8245595578862388,1.3804428589144042,0.05085519589984759,0.00965394563082489,0.007237396717197975,0.05154619372663549,0.05636898836021853,0.09567062672900972,0.13133353699412997,-0.015492087451375765,-0.004354881322727995
2,normal,RA_level,0.24211674072156492,0.23937390646875611,0.013773294795924075,0.8034116878665618,0.7990971518505314,0.03903217315984482,1.362967910010579,1.3612864303865368,0.07741426881989699,0.060195587188223466,0.06321582533168439,0.018418257575077805,0.24961356427869458,0.8275711122158811,1.4066045446674527,0.06219952700148725,0.25281262939570626,0.8245595578862388,1.3804428589144042,0.05085519589984759,-0.0074968235571296615,-0.013438722926950142,-0.02415942434931928,-0.025462406035707374,-0.04363663465687373,-0.019156428527867364,-0.002003939813263786,0.0123606294318368
