feature,mean_abs_shap_baseline,mean_abs_shap_engineered
station_minus_last_max_cents,1.4791277679475374,1.4122972343673361
station_minus_last_min_cents,1.3808151117099527,1.2808813719183256
cycle_mean_length,0.51247700508078,0.5357777796079564
stickiness_score,0.4640363967387507,0.4779589648168235
station_minus_lga_mean_cents,0.41361298398722407,0.44080110126939626
station_price_cents,0.33268749323784835,0.304583340750384
station_minus_sydney_avg_cents,0.29418499466981934,0.2587722315378172
station_minus_brand_mean_cents,0.13924677149886108,0.14445691109318048
days_since_trough_entry_woollahra,0.13529906635214684,0.14110146374124935
cycle_pct_through,0.13097002926216694,0.11028498413927978
station_minus_expected_phase_price,,0.10126865983432232
cycle_last_min_cents,0.09262866675452557,0.09562106192018806
days_since_trough_entry_randwick,0.09499761520880656,0.08933890442770048
days_since_trough_entry_blue_mountains,0.0995067346175496,0.08385154565163315
days_since_trough_entry_cumberland,0.07136139342481292,0.05948504373310252
days_since_trough_entry_burwood,0.053903359442708076,0.05698381764805154
brand_mean_cents,0.04472348225363134,0.04840717666483737
days_since_trough_entry_hawkesbury,0.03808712656904153,0.04527807059384289
cycle_days_since_peak,0.04173158790171593,0.0433448843835996
days_since_trough_entry_parramatta,0.04340786269262964,0.04239422962529599
cycle_last_max_cents,0.03862440790525034,0.03846818275515079
cycle_peak_count,0.04153768370320979,0.03465247781959561
days_since_trough_entry_camden,0.0316540864174952,0.03299343967260634
days_since_trough_entry_mosman,0.03203043512993308,0.03229589502868847
days_since_trough_entry_strathfield,0.03423987355714117,0.03146452380008886
lga_mean_cents,0.0371631809128681,0.030574901918735627
days_since_trough_entry_georges_river,0.03561375418499285,0.02943917567234723
days_since_trough_entry_north_sydney,0.0208095928894286,0.024978696911991147
days_since_trough_entry_hornsby,0.02637411805055882,0.02446204216412552
days_since_trough_entry_wollondilly,0.018396781997391476,0.02300304403309131
days_since_trough_entry_ku_ring_gai,0.013173652315943182,0.020156660876567648
days_since_trough_entry_sydney,0.01924803646848421,0.018421198567738873
days_since_trough_entry_fairfield,0.01301927184295501,0.017681471301749078
days_since_trough_entry_penrith,0.0195828573812982,0.0172244430462488
days_since_trough_entry_rockdale,0.01881424086191565,0.016480410350120985
days_since_trough_entry_ryde,0.011144415363144445,0.01280638188250136
days_since_trough_entry_liverpool,0.013371351381581896,0.011669791616508135
days_since_trough_entry_blacktown,0.007753924811541132,0.011246817317146718
days_since_trough_entry_canada_bay,0.010241642147762443,0.011115201943408926
days_since_trough_entry_sutherland_shire,0.009033612510150245,0.008482828412672132
days_since_trough_entry_campbelltown,0.005979216125360463,0.007951887900704106
days_since_trough_entry_canterbury_bankstown,0.009541544991960117,0.0078004069258945765
days_since_trough_entry_willoughby,0.005460823874893939,0.00690324489375115
days_since_trough_entry_northern_beaches,0.005345601234692764,0.0054114334522248
days_since_trough_entry_the_hills_shire,0.0023675912749120663,0.004839807860115072
days_since_trough_entry_inner_west,0.0019916951875305327,0.003013601282047726
days_since_trough_entry_waverley,0.0,0.0
days_since_trough_entry_lane_cove,0.0,0.0
days_since_trough_entry_botany_bay,0.0,0.0
days_since_trough_entry_bayside,0.0,0.0
days_since_trough_entry_hunters_hill,0.0,0.0
