cadence_days,tau,always_cpl,model_cpl,oracle_cpl,captured_cpl,headroom_cpl,captured_pct,model_fills,model_emergency_pct,model_litres,dry_events,worst_dry_litres,cell_valid,wall_s
7,0.05,193.41483516483515,189.79445701357466,188.13534777651083,3.6203781512604962,1.6591092370638307,68.57442560175485,756,46.42857142857143,22100.0,0,0.0,True,0.6231901670107618
7,0.1,193.41483516483515,189.74196123147092,188.13534777651083,3.6728739333642295,1.6066134549600974,69.56876043471286,755,53.377483443708606,21925.0,0,0.0,True,0.6252651670074556
7,0.15,193.41483516483515,189.74408725602754,188.13534777651083,3.6707479088076127,1.6087394795167143,69.52849090852138,752,59.840425531914896,21775.0,0,0.0,True,0.6165757079725154
7,0.2,193.41483516483515,189.66298850574714,188.13534777651083,3.7518466590880166,1.5276407292363103,71.06460122218091,752,64.8936170212766,21750.0,0,0.0,True,0.6142703749937937
7,0.25,193.41483516483515,189.6717090069284,188.13534777651083,3.743126157906744,1.536361230417583,70.8994241786566,752,67.5531914893617,21650.0,0,0.0,True,0.612134958995739
7,0.3,193.41483516483515,189.79767711962833,188.13534777651083,3.6171580452068213,1.6623293431175057,68.51343282316056,754,70.026525198939,21525.0,0,0.0,True,0.612748166982783
7,0.35,193.41483516483515,189.86372093023255,188.13534777651083,3.5511142346026077,1.7283731537217193,67.26248162759049,754,72.28116710875332,21500.0,0,0.0,True,0.6169224999903236
7,0.4,193.41483516483515,189.8939393939394,188.13534777651083,3.5208957708957485,1.7585916174285785,66.6901066698685,754,74.80106100795756,21450.0,0,0.0,True,0.6140367919870187
7,0.5,193.41483516483515,190.72423887587823,188.13534777651083,2.6905962889569253,2.5888910993674017,50.96321083950732,774,83.33333333333334,21350.0,0,0.0,True,0.6540664999920409
7,0.6,193.41483516483515,191.65407319952774,188.13534777651083,1.7607619653074096,3.5187254230169174,33.35100239469013,799,90.4881101376721,21175.0,0,0.0,True,0.611946999997599
7,0.7,193.41483516483515,192.33712930011862,188.13534777651083,1.0777058647165347,4.201781523607792,20.413077737431458,812,94.82758620689656,21075.0,0,0.0,True,0.6184082500112709
7,0.8,193.41483516483515,193.7977380952381,188.13534777651083,-0.38290293040293477,5.662390318727262,-7.25265356727115,840,100.0,21000.0,0,0.0,True,0.6148268749821
2,0.05,192.9544060150376,188.70007755545208,185.16320703727334,4.254328459585508,3.5368705181787448,54.604284548850295,1796,20.76837416481069,23025.00000000001,0,0.0,True,2.1070666250016075
2,0.1,192.9544060150376,188.43899204244028,185.16320703727334,4.515413972597315,3.275785005166938,57.95531580548915,1687,25.074096028452875,22889.28571428572,0,0.0,True,2.089349999994738
2,0.15,192.9544060150376,188.37651027773418,185.16320703727334,4.5778957373034075,3.2133032404608457,58.757268943695635,1587,29.552614996849403,22760.71428571429,0,0.0,True,2.0968912499956787
2,0.2,192.9544060150376,187.98833883388338,185.16320703727334,4.966067181154216,2.8251317966100373,63.739447488469466,1480,34.52702702702703,22725.0,0,0.0,True,2.1102317910117563
2,0.25,192.9544060150376,188.00143669087464,185.16320703727334,4.95296932416295,2.838229653601303,63.571336559347436,1434,37.517433751743376,22621.428571428572,0,0.0,True,2.094172749988502
2,0.3,192.9544060150376,187.91558132147392,185.16320703727334,5.038824693563669,2.7523742842005845,64.6732897971706,1382,40.44862518089725,22485.71428571429,0,0.0,True,2.0913688339933287
2,0.35,192.9544060150376,187.97269243053336,185.16320703727334,4.981713584504234,2.809485393260019,63.940268997388344,1331,44.552967693463565,22364.285714285717,0,0.0,True,2.1184288329968695
2,0.4,192.9544060150376,188.18022508038587,185.16320703727334,4.774180934651724,3.017018043112529,61.27658847215982,1292,48.142414860681114,22214.285714285714,0,0.0,True,2.0899119999958202
2,0.5,192.9544060150376,188.25538337368843,185.16320703727334,4.69902264134916,3.0921763364150934,60.311932152675965,1177,59.98300764655905,22125.0,0,0.0,True,2.0823367919947486
2,0.6,192.9544060150376,189.15444480625214,185.16320703727334,3.7999612087854473,3.991237768978806,48.772483152212814,1084,72.60147601476015,21935.71428571428,0,0.0,True,2.088945875002537
2,0.7,192.9544060150376,190.79860808317963,185.16320703727334,2.155797931857961,5.635401045906292,27.669655697544314,1018,86.83693516699411,21296.42857142857,0,0.0,True,2.080773333000252
