cadence,tau,fold,val_start,val_end,model_cpl,n_fills
7,0.35,6,2023-01-29,2023-04-28,190.23833333333334,55
7,0.35,7,2023-04-29,2023-07-27,179.52333333333334,51
7,0.35,8,2023-07-28,2023-10-25,204.57666666666665,58
7,0.35,9,2023-10-26,2024-01-23,200.4344262295082,57
7,0.35,10,2024-01-24,2024-04-22,207.37666666666667,55
7,0.35,11,2024-04-23,2024-07-21,205.25666666666666,53
7,0.35,12,2024-07-22,2024-10-19,184.86333333333334,50
7,0.35,13,2024-10-20,2025-01-17,189.64375,55
7,0.35,14,2025-01-18,2025-04-17,190.44193548387096,55
7,0.4,1,2021-11-05,2022-02-02,168.55333333333334,50
7,0.4,2,2022-02-03,2022-05-03,176.6295081967213,50
7,0.4,3,2022-05-04,2022-08-01,200.1723076923077,59
7,0.4,4,2022-08-02,2022-10-30,174.1888888888889,51
7,0.4,5,2022-10-31,2023-01-28,187.12063492063493,55
7,0.4,6,2023-01-29,2023-04-28,190.73833333333334,56
7,0.4,7,2023-04-29,2023-07-27,179.14333333333335,50
7,0.4,8,2023-07-28,2023-10-25,204.57666666666665,58
7,0.4,9,2023-10-26,2024-01-23,200.4344262295082,57
7,0.4,10,2024-01-24,2024-04-22,207.37666666666667,55
7,0.4,11,2024-04-23,2024-07-21,205.25666666666666,53
7,0.4,12,2024-07-22,2024-10-19,184.36666666666667,50
7,0.4,13,2024-10-20,2025-01-17,189.65555555555557,55
7,0.4,14,2025-01-18,2025-04-17,190.40967741935484,55
7,0.5,1,2021-11-05,2022-02-02,168.32,50
7,0.5,2,2022-02-03,2022-05-03,177.84590163934425,54
7,0.5,3,2022-05-04,2022-08-01,200.03692307692307,59
7,0.5,4,2022-08-02,2022-10-30,177.45573770491802,57
7,0.5,5,2022-10-31,2023-01-28,188.9015873015873,60
7,0.5,6,2023-01-29,2023-04-28,191.76166666666666,56
7,0.5,7,2023-04-29,2023-07-27,179.21333333333334,51
7,0.5,8,2023-07-28,2023-10-25,205.29333333333332,59
7,0.5,9,2023-10-26,2024-01-23,200.94262295081967,57
7,0.5,10,2024-01-24,2024-04-22,208.91,57
7,0.5,11,2024-04-23,2024-07-21,204.99,52
7,0.5,12,2024-07-22,2024-10-19,184.18333333333334,50
7,0.5,13,2024-10-20,2025-01-17,190.43770491803278,56
7,0.5,14,2025-01-18,2025-04-17,191.40967741935484,56
7,0.6,1,2021-11-05,2022-02-02,172.41,58
7,0.6,2,2022-02-03,2022-05-03,178.9606557377049,57
7,0.6,3,2022-05-04,2022-08-01,201.2016129032258,59
7,0.6,4,2022-08-02,2022-10-30,178.08166666666668,59
7,0.6,5,2022-10-31,2023-01-28,189.52786885245902,60
7,0.6,6,2023-01-29,2023-04-28,192.445,58
7,0.6,7,2023-04-29,2023-07-27,180.53,54
7,0.6,8,2023-07-28,2023-10-25,205.93,60
7,0.6,9,2023-10-26,2024-01-23,200.87704918032787,57
7,0.6,10,2024-01-24,2024-04-22,211.08,60
7,0.6,11,2024-04-23,2024-07-21,205.32333333333332,53
7,0.6,12,2024-07-22,2024-10-19,183.4,50
7,0.6,13,2024-10-20,2025-01-17,190.53,56
7,0.6,14,2025-01-18,2025-04-17,192.6032258064516,58
7,0.7,1,2021-11-05,2022-02-02,173.34333333333333,60
7,0.7,2,2022-02-03,2022-05-03,180.52833333333334,60
7,0.7,3,2022-05-04,2022-08-01,201.28166666666667,60
7,0.7,4,2022-08-02,2022-10-30,178.79833333333335,60
7,0.7,5,2022-10-31,2023-01-28,189.99666666666667,60
7,0.7,6,2023-01-29,2023-04-28,194.93666666666667,60
7,0.7,7,2023-04-29,2023-07-27,180.48333333333332,53
7,0.7,8,2023-07-28,2023-10-25,205.93,60
7,0.7,9,2023-10-26,2024-01-23,202.00819672131146,59
7,0.7,10,2024-01-24,2024-04-22,211.08,60
7,0.7,11,2024-04-23,2024-07-21,206.32666666666665,55
7,0.7,12,2024-07-22,2024-10-19,183.40333333333334,51
7,0.7,13,2024-10-20,2025-01-17,190.53,56
7,0.7,14,2025-01-18,2025-04-17,193.86129032258066,58
7,0.8,1,2021-11-05,2022-02-02,173.34333333333333,60
7,0.8,2,2022-02-03,2022-05-03,180.52833333333334,60
7,0.8,3,2022-05-04,2022-08-01,201.28166666666667,60
